Time,Precision,Recall,Dataset,F1
1,65.9,53.6,Camp,59.11698745
2,82.7,66.4,Camp,73.65902079
3,89.4,83.6,Camp,86.40277457
4,91.5,89.2,Camp,90.33536248
5,92.6,91.1,Camp,91.84387588
6,93.9,91.4,Camp,92.63313546
7,94.2,91.1,Camp,92.62406908
8,93.7,92.6,Camp,93.14675255
9,93.4,91.9,Camp,92.64392876
10,94.3,91.8,Camp,93.03320795
11,94.5,93.2,Camp,93.84549814
12,94.2,93.6,Camp,93.89904153
1,65.1,60.8,Woolsey,62.87656871
2,75.9,69.4,Woolsey,72.50461115
3,83.5,80.3,Woolsey,81.86874237
4,85.2,83.9,Woolsey,84.54500296
5,86.9,87.1,Woolsey,86.99988506
6,88.2,86.7,Woolsey,87.44356775
7,89.7,89.8,Woolsey,89.74997214
8,92.1,90.2,Woolsey,91.14009874
9,90.8,91.4,Woolsey,91.09901207
10,92.5,93.1,Woolsey,92.79903017
11,93.3,92.4,Woolsey,92.84781906
12,93.7,92.2,Woolsey,92.94394836
1,72.4,67.6,County,69.91771429
2,76.3,73.4,County,74.82191049
3,81.5,80.6,County,81.04750154
4,88.1,83.1,County,85.52698598
5,92.3,89.3,County,90.77522026
6,91.5,92.4,County,91.94779772
7,91.8,93.4,County,92.59308855
8,92.1,92.6,County,92.34932323
9,92.4,93.43,County,92.91214551
10,95.3,90.1,County,92.62707659
11,93.4,92.8,County,93.0990333
12,93.2,93.5,County,93.34975897
1,67.2,63.3,Kincade,65.19172414
2,75.9,78.4,Kincade,77.12974725
3,79.5,82.6,Kincade,81.0203578
4,84.6,88.1,Kincade,86.31453387
5,90.7,91.3,Kincade,90.99901099
6,90.5,93.4,Kincade,91.92713431
7,93.8,92.8,Kincade,93.29732047
8,92.1,93.6,Kincade,92.84394184
9,93.4,94.2,Kincade,93.79829424
10,94.3,94.1,Kincade,94.19989384
11,93.4,93.4,Kincade,93.4
12,93.7,95.1,Kincade,94.39480932
