Time,Precision,Recall,Dataset,F1
1,0.7368191067120666,0.8181818181818182,california,0.6
2,0.9167884404017964,0.9892703862660944,california,0.9048086359175662
3,0.7922360519661986,0.9562043795620438,california,0.7257617728531857
4,0.4939022988505747,0.0,california,0.0
5,0.9111058275461908,0.917844522968198,california,0.8680033416875521
6,0.8833138615416629,0.9232142857142858,california,0.838265099310904
7,0.939226507353052,0.9244350282485876,california,0.9015151515151516
8,0.9410031749462566,0.9474085365853658,california,0.9139705882352942
9,0.9061300639147676,0.9864649681528662,california,0.8910463861920174
10,0.9746419747022864,0.9760981912144704,california,0.9627269831156421
11,0.9720510912519559,0.9679802955665024,california,0.9562043795620436
12,0.9718514199586429,0.985653560042508,california,0.9643878346763712
1,0.8157752834499297,0.8571428571428571,county,0.7272727272727273
2,0.8762446499659917,0.8333333333333334,county,0.7909604519774012
3,0.8888320779698302,0.8873239436619719,county,0.8289473684210527
4,0.8362783848717352,0.8604651162790697,county,0.7551020408163266
5,0.8715454246474204,0.9759036144578314,county,0.84375
6,0.9040048881363822,0.9411764705882352,county,0.8695652173913043
7,0.8620547732690473,0.9130434782608696,county,0.8076923076923076
8,0.8222009290147554,0.90625,county,0.7532467532467533
9,0.8461467503318661,0.9473684210526316,county,0.7999999999999999
10,0.8589530675803405,0.9032258064516128,county,0.8
11,0.8472080285639487,0.925925925925926,county,0.7936507936507936
12,0.8499929047821768,0.9333333333333332,county,0.8
1,0.7384544387100298,0.96875,kincade,0.6391752577319587
2,0.6632653061224489,1.0,kincade,0.4923076923076923
3,0.6481481481481481,1.0,kincade,0.4571428571428571
4,0.6435185185185185,1.0,kincade,0.4460431654676259
5,0.6896551724137931,1.0,kincade,0.5499999999999999
6,0.6551724137931034,1.0,kincade,0.4736842105263158
7,0.8622448979591837,1.0,kincade,0.8402366863905326
8,0.9992054032578466,0.1111111111111111,kincade,0.2
9,0.9347612803673666,0.9790209790209792,kincade,0.9210526315789472
10,0.7142786048429524,0.9857142857142858,kincade,0.5974025974025974
11,0.8552489638335321,0.9310344827586208,kincade,0.8059701492537312
12,0.8845799055054846,0.8,kincade,0.7843137254901961
1,0.8153530676528973,0.9761904761904762,woolsey,0.7663551401869158
2,0.4982977113675052,0.0,woolsey,0.0
3,0.8963309875082641,0.8679245283018868,woolsey,0.8288288288288289
4,0.8533852082535927,0.9534883720930232,woolsey,0.8118811881188119
5,0.8421052631578947,1.0,woolsey,0.8125000000000001
6,0.8547442690805548,0.88,woolsey,0.7857142857142856
7,0.8982735489526374,0.9791666666666666,woolsey,0.8785046728971962
8,0.9051492326078752,0.2708333333333333,woolsey,0.40625
9,0.9128311009378972,0.6825396825396826,woolsey,0.7478260869565218
10,0.9851323263806729,0.4556962025316456,woolsey,0.6206896551724138
11,0.9989591875354822,0.6489361702127661,woolsey,0.7870967741935483
12,0.9080016828048744,0.8,woolsey,0.8085106382978724
