day,time,C01,C02,C06,C07_minus_C14,C11,C12,C13,C14,C15,C16,temperature,humidity,pressure
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.07230932449692,8.946687950062445,29.811797125720435
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.10274167099282,8.978704903101633,29.807947919300755
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.08952240591732,8.946299109360563,29.81315962694043
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.12099710351337,8.978726556725075,29.809322308469582
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.151927771425306,9.011330211007465,29.805379807115514
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.18223719096639,9.044075694786072,29.801331250274245
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.21185044787675,9.076929934572144,29.797175670789255
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.074597153461745,8.913814553108978,29.818201657278603
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.107625848142646,8.946453608115604,29.814481079696378
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.140169167787626,8.979295627396406,29.810656469928013
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.172144581963416,9.012303792758642,29.8067270475821
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.20347180107794,9.045442576822802,29.802691938189344
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.234073088310005,9.078677897442255,29.798550164051967
8,201811081800,high,high,high,low,high,high,high,high,high,high,61.77723270690049,8.63191569501817,29.84826656988231
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,61.81188396097718,8.661401553373766,29.845467534688716
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,61.84684027995108,8.691450642933173,29.84256932326644
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.05796904721908,8.88127243518966,29.823073560216212
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.09253544508104,8.914107231072071,29.819469038917784
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.126681820723185,8.94717444377015,29.81576160658433
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.16032009133797,8.980434690851942,29.811950580421406
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.193364306850164,9.013849846088576,29.808035185151866
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.2257310187268,9.047383223873604,29.80401454237595
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.25733960459265,9.080999737705627,29.799887661191814
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.74998901160722,8.59935771398848,29.852074458762623
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.78540849240529,8.628684780732694,29.849384888753274
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.82123805254709,8.658622443989882,29.846596698028453
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.85738785966175,8.689129530606529,29.843709474503502
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,61.89376546574181,8.720163611173938,29.84072284251884
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,61.93027642379932,8.751681340114278,29.837636446335583
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.03964795626895,8.848696308195594,29.82777506185051
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.075729451029645,8.88170859068025,29.824285864159435
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.111463472235535,8.91498564926391,29.82069483988605
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.14675616625289,8.948485424210796,29.817001408478834
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.1815156502527,8.982167051378635,29.81320489976947
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.215652445489226,9.015991080587844,29.809304541716454
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.24907986324362,9.049919666150402,29.805299449452615
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.281714341485966,9.083916728739549,29.801188615718964
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.313475731345484,9.117948088359265,29.796970902738515
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.75767903978442,8.596193779237561,29.85313597569241
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.794299863527165,8.625977851536843,29.850457302897293
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.831350513173604,8.656380449612774,29.847680154441978
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.8687361363125,8.687358070838277,29.84480418616096
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.906359189429324,8.7188659516235,29.841829088353588
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.94412011033452,8.750858435984581,29.83875456799685
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.98191799347491,8.783289342407251,29.83558033073806
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.019651257942115,8.816112323440768,29.832306062949343
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.0572182985685,8.84928121283201,29.82893141411484
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.09451811131246,8.882750355510662,29.82545597980327
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.131450885101515,8.916474916313428,29.821879285456152
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.16791855341829,8.950411163989118,29.81820077119485
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.20382530010738,8.984516727711615,29.814419777819687
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.23907801512206,9.018750824030008,29.810535534143604
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.27358669719352,9.053074452896972,29.806547145768896
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.30726480160362,9.087450562074084,29.80245358538535
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.340029532412764,9.121844179858467,29.798253684635974
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.37180207954543,9.156222516641842,29.793946127568134
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.402507802100786,9.190555036330695,29.78952944566062
8,201811081800,high,high,high,low,high,high,high,high,high,high,61.728782389640564,8.563980581342209,29.85672107562227
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.76610355729339,8.593565592487526,29.85415138266052
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.803970756359156,8.62382083599934,29.851483752160792
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.84228724222134,8.654701982550911,29.848717861997766
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.88095279253121,8.686163049682653,29.845853440632354
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.91986442790525,8.718156797933464,29.84289024843425
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.958917145268195,8.750635130162323,29.839828058535367
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.99800465207567,8.783549487620371,29.83666663752833
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.03702009010661,8.816851236657163,29.833405726316986
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.07585673824745,8.850492040414574,29.83004502140956
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.11440868462744,8.884424210430407,29.826584156925435
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.1525714596465,8.91860103377563,29.82302268755748
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.19024262269298,8.95297707207197,29.819360072702725
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.22732229675982,8.987508429544171,29.815595661938463
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.263713646563325,9.022152988037707,29.811728681986914
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.29932329721148,9.056870607741319,29.807758225273183
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.3340616918004,9.091623293071065,29.803683240149095
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.36784338763767,9.126375323899984,29.79950252281805
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.40058729192319,9.161093352910719,29.795214710968274
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.432216838774416,9.195746470413171,29.79081827909145
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.4626601103515,9.2303062384144,29.78631153544091
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.49184990557048,9.264746696106156,29.781692620561145
8,201811081800,high,high,high,normal,high,normal,high,high,high,high,62.57129729722333,9.367129161142172,29.767141748331397
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.59489533456032,9.400881115576626,29.7620522288848
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.61697391713249,9.434419625314083,29.756838772350726
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.73673894525231,8.56143837164251,29.857679351525938
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.77532910702194,8.591499973060142,29.855120647802956
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.81448991428785,8.622241134653606,29.852464220883572
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.854118999649586,8.653614909150809,29.84970982773188
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.89411039678409,8.685572676109027,29.846857274151596
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.93435532882583,8.718064572421678,29.843906394619207
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.9747430081801,8.751039924796366,29.8408570317006
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.01516143466073,8.784447677106483,29.837709015393457
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.05549817940742,8.818236805903059,29.834462142728256
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.09564114293775,8.852356717943254,29.83111615794038
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.13547927682424,8.886757624274082,29.82767073350064
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.174903259848335,8.921390886204291,29.824125452259917
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.21380612097848,8.956209329354555,29.82047979092733
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.25208380311457,8.991167522874722,29.816733105062465
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.289635663158364,9.026222021810698,29.81288461572307
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.326364905569406,9.061331571486022,29.80893339786814
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.36217894809695,9.09645727358625,29.80487837057838
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.396989719792394,9.131562714394228,29.800718289119295
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.43071389268594,9.166614056295579,29.796451738838527
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.46327304962579,9.201580094253252,29.792077130860168
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.494593791715324,9.23643227943086,29.78759269951196
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.52460778952943,9.271144712508212,29.78299650140253
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.55325178287723,9.30569410952261,29.77828641604695
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.580467533324544,9.3400597430925,29.773460147901925
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.60620174031182,9.374223362942436,29.768515229844045
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.630405913132314,9.408169096830363,29.76344902759398
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.653036221321905,9.441883337552166,29.758258745438606
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.67405331627932,9.475354617046351,29.752941432780965
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.69342213401797,9.508573471144114,29.747493991531
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.711111682991664,9.541532297527278,29.741913184203366
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.74551838964512,8.559471191365988,29.85859139369227
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.78542732599065,8.590025319998125,29.85604378234312
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.825931246236784,8.621267714520313,29.8533987411596
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.86692175182884,8.653148634478846,29.85065611154845
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.90828673342825,8.685616655677602,29.847815781329736
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.949911233470516,8.718619137918338,29.844877662988136
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.99167831843428,8.752102693170597,29.841841671575704
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.033469946204264,8.786013646337056,29.83870770263945
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.0751678146441,8.820298481270875,29.835475610532786
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.11665417857759,8.854904265372392,29.832145187445978
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.157812623740554,8.889779046901843,29.828716143460255
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.19852878785905,8.924872220065673,29.8251880878927
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.2386910207588,8.960134853925696,29.821560512157465
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.27819097722478,8.995519982186073,29.817832774325964
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.31692413819288,9.030982851941465,29.814004085522285
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.35479025764682,9.066481130435644,29.810073498246535
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.39169373429336,9.101975069788985,29.80603989667682
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.42754390867685,9.13742763049507,29.80190198895913
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.462255287749926,9.172804565183865,29.797658301461773
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.49574770014551,9.208074464783452,29.793307174937464
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.527946386361904,9.243208769692673,29.788846762511206
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.55878202884966,9.278181748950688,29.78427502939188
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.588190727562804,9.312970450662595,29.779589754187608
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.616113925934286,9.347554626941513,29.774788531668364
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.642498299013994,9.381916637683796,29.76986877699758
