time,ground_truth,prediction,accuracy,precision,recall,f1
201811080000,0,0,1.0,1.0,0.0,0.0
201811080100,0,0,1.0,1.0,0.0,0.0
201811080200,0,0,1.0,1.0,0.0,0.0
201811080300,0,0,1.0,1.0,0.0,0.0
201811080400,0,0,1.0,1.0,0.0,0.0
201811080500,0,0,1.0,1.0,0.0,0.0
201811080600,0,0,1.0,1.0,0.0,0.0
201811080700,0,0,1.0,1.0,0.0,0.0
201811080800,0,0,1.0,1.0,0.0,0.0
201811080900,0,0,1.0,1.0,0.0,0.0
201811081000,0,0,1.0,1.0,0.0,0.0
201811081100,0,0,1.0,1.0,0.0,0.0
201811081200,0,0,1.0,1.0,0.0,0.0
201811081300,0,0,1.0,1.0,0.0,0.0
201811081400,0,0,1.0,1.0,0.0,0.0
201811081500,1,1,0.9989770114942529,0.9731839920400804,0.2926829268292683,0.44720496894409933
201811081600,1,1,0.9939885057471264,0.9601416402666396,0.5150905432595574,0.6619263089851325
201811081700,1,0,-1.0,-1.0,-1.0,-1.0
201811081800,1,1,0.9982758620689656,0.9700466597910706,0.9261862917398945,0.933569530558016
201811081900,1,1,0.999,0.969824916057429,0.9908103592314118,0.9646197641317609
201811082000,1,1,0.998,0.9704863699148455,0.9296703296703297,0.9358407079646018
201811082100,1,1,0.9972183908045977,0.9668882541292072,0.9050715214564369,0.9200264375413086
201811082200,1,1,0.9981954022988506,0.9645049332881578,0.9575713240673006,0.9434234234234233
201811082300,1,1,0.9959655172413793,0.9589824462142607,0.8592411260709915,0.8888888888888891
201811090000,1,1,0.9971724137931034,0.9559987977838937,0.9308135810377963,0.9219543147208121
201811090100,1,1,0.9967816091954023,0.9547554328230128,0.9199029126213593,0.9154589371980677
201811090200,1,1,0.9962758620689656,0.9267544527017837,0.9784256559766764,0.9119565217391304
201811090300,1,1,0.9956781609195402,0.938669578110253,0.9541154210028382,0.9147392290249433
201811090400,1,1,0.9954827586206897,0.923829912907969,0.9822572695909315,0.9102534825302582
201811090500,1,1,0.9942068965517241,0.9164257005579074,0.9415489527520702,0.8846681922196796
201811090600,1,1,0.9949885057471264,0.9220017763532711,0.9476683937823834,0.8935026868588178
201811090700,1,1,0.9942758620689656,0.9051584485143388,0.9435528500276702,0.8725690890481065
201811090800,1,1,0.9920919540229886,0.8243347745741478,0.8041894353369763,0.7196414017929911
201811090900,1,1,0.995264367816092,0.9005544693599421,0.8543103448275862,0.8279030910609858
201811091000,1,1,0.9948505747126437,0.8935231518443707,0.8442553191489361,0.8157894736842105
201811091100,1,1,0.9965057471264368,0.930951576480987,0.816032887975334,0.839323467230444
201811091200,1,1,0.9949540229885058,0.9066093327131246,0.7621268656716418,0.7882296189097926
201811091300,1,1,0.9926896551724138,0.8686144623150259,0.69004329004329,0.7147982062780269
201811091400,1,1,0.9947241379310345,0.8751433443248028,0.7679324894514767,0.7603133159268929
201811091500,1,1,0.9945172413793103,0.8912760309270478,0.6956521739130435,0.7380560131795716
201811091600,1,1,0.9936091954022989,0.8370194073370038,0.9056244041944709,0.773615635179153
201811091800,1,1,0.9945402298850575,0.8296563968874305,0.8407960199004975,0.7400109469074986
201811091900,1,1,0.9966781609195402,0.9252839773384853,0.8018648018648019,0.8264264264264264
201811092000,1,1,0.9966091954022989,0.8518172730150446,0.9245283018867925,0.7994561522773623
201811092100,1,1,0.9965402298850574,0.822411955606442,0.9776536312849162,0.7772020725388601
201811092200,1,1,0.997448275862069,0.8455283399749629,0.6101190476190477,0.6487341772151899
201811092300,1,1,0.9978045977011494,0.7606291958996897,0.6435643564356436,0.5764966740576498
201811100000,1,0,0.997551724137931,0.4987758620689655,0.0,0.0
201811100100,1,1,0.9987816091954023,0.7428713426053851,0.6862745098039216,0.5691056910569106
201811100200,1,1,0.9994942528735632,0.9022320302895758,0.4782608695652174,0.6
201811100300,1,1,0.9993908045977011,0.7872930082796687,0.3898305084745763,0.46464646464646464
201811100400,1,1,0.9994827586206897,0.9532755180073753,0.6782608695652174,0.7761194029850746
201811100500,1,1,0.9995057471264368,0.9649034249841195,0.6837606837606838,0.7881773399014778
201811100600,1,0,0.9984827586206897,0.49924137931034485,0.0,0.0
201811100700,1,0,0.9981724137931034,0.4990862068965517,0.0,0.0
201811100800,1,0,0.9976551724137931,0.49882758620689654,0.0,0.0
201811100900,1,0,0.9977471264367817,0.4988735632183908,0.0,0.0
201811101000,1,0,0.998367816091954,0.499183908045977,0.0,0.0
201811101100,1,0,0.9993448275862069,0.49967241379310345,0.0,0.0
201811101200,1,0,0.9997011494252873,0.49985057471264366,0.0,0.0
201811101300,1,0,0.9991954022988506,0.4995977011494253,0.0,0.0
201811101400,1,0,0.999367816091954,0.499683908045977,0.0,0.0
201811101500,1,0,0.9993793103448276,0.4996896551724138,0.0,0.0
201811101600,1,0,0.999632183908046,0.499816091954023,0.0,0.0
201811101800,1,0,0.9990114942528736,0.4995057471264368,0.0,0.0
201811101900,1,0,0.9985172413793103,0.49925862068965515,0.0,0.0
201811102000,1,0,0.996551724137931,0.4982758620689655,0.0,0.0
201811102100,1,0,0.9995402298850574,0.4997701149425287,0.0,0.0
201811102200,1,0,0.9975747126436781,0.49878735632183907,0.0,0.0
201811102300,1,0,0.9981494252873563,0.49907471264367814,0.0,0.0
201811110000,1,0,0.9996666666666667,0.49983333333333335,0.0,0.0
201811110100,1,1,0.9997241379310344,0.7142857142857143,1.0,0.6
201811110200,0,0,1.0,1.0,0.0,0.0
201811110300,1,0,0.9997471264367817,0.4998735632183908,0.0,0.0
201811110400,1,1,0.9985632183908046,0.6966019417475728,1.0,0.5644599303135888
201811110500,1,1,0.9990229885057471,0.9313982167960906,0.5100671140939598,0.6413502109704642
201811110600,1,0,0.9993218390804598,0.4996609195402299,0.0,0.0
201811110700,1,1,0.9988275862068966,0.9161147141345845,0.23809523809523808,0.37037037037037035
201811110800,1,1,0.9988735632183908,0.9097331872023975,0.2601626016260163,0.39506172839506176
201811110900,1,1,0.9988850574712643,0.9300266010456435,0.25203252032520324,0.389937106918239
201811111000,1,1,0.9980459770114942,0.9851394446744246,0.1715686274509804,0.2916666666666667
201811111100,1,0,0.9977011494252873,0.49885057471264366,0.0,0.0
201811111200,1,0,0.9977126436781609,0.49885632183908046,0.0,0.0
201811111300,1,0,0.9960459770114942,0.4980229885057471,0.0,0.0
201811111400,1,0,0.996448275862069,0.4982241379310345,0.0,0.0
201811111500,1,0,0.9968505747126437,0.49842528735632186,0.0,0.0
201811111600,1,0,0.997,0.4985,0.0,0.0
201811111800,1,0,0.9981149425287357,0.49905747126436784,0.0,0.0
201811111900,1,0,0.9970459770114942,0.4985229885057471,0.0,0.0
201811112000,1,1,0.9981954022988506,0.9922533802965833,0.3157894736842105,0.4784053156146179
201811112100,1,1,0.9988620689655172,0.9583691779797597,0.41875,0.5751072961373391
201811112200,1,1,0.9993218390804598,0.9630290085027153,0.8470149253731343,0.8849902534113061
201811112300,1,1,0.996735632183908,0.9983671404259233,0.1125,0.20224719101123595
201811120000,1,1,0.9990459770114942,0.9713992467550241,0.6411483253588517,0.7635327635327634
201811120100,1,1,0.9980229885057471,0.8800103966605038,0.9601593625498008,0.8485915492957746
201811120200,1,1,0.9978735632183908,0.8686480260355971,0.9841584158415841,0.8430873621713316
