time,ground_truth,prediction,accuracy,precision,recall,f1
201910230000,0,0,1.0,1.0,0.0,0.0
201910230100,0,0,1.0,1.0,0.0,0.0
201910230200,0,0,1.0,1.0,0.0,0.0
201910230300,0,0,1.0,1.0,0.0,0.0
201910230400,0,0,1.0,1.0,0.0,0.0
201910230500,0,0,1.0,1.0,0.0,0.0
201910230600,0,0,1.0,1.0,0.0,0.0
201910230700,0,0,1.0,1.0,0.0,0.0
201910230800,0,0,1.0,1.0,0.0,0.0
201910230900,0,0,1.0,1.0,0.0,0.0
201910231000,0,0,1.0,1.0,0.0,0.0
201910231100,0,0,1.0,1.0,0.0,0.0
201910231200,0,0,1.0,1.0,0.0,0.0
201910231300,0,0,1.0,1.0,0.0,0.0
201910231400,0,0,1.0,1.0,0.0,0.0
201910231500,0,0,1.0,1.0,0.0,0.0
201910231600,0,0,1.0,1.0,0.0,0.0
201910231700,0,0,1.0,1.0,0.0,0.0
201910231800,0,0,1.0,1.0,0.0,0.0
201910231900,0,0,1.0,1.0,0.0,0.0
201910232000,0,0,1.0,1.0,0.0,0.0
201910232100,0,0,1.0,1.0,0.0,0.0
201910232200,0,0,1.0,1.0,0.0,0.0
201910232300,0,0,1.0,1.0,0.0,0.0
201910240000,0,0,1.0,1.0,0.0,0.0
201910240100,0,0,1.0,1.0,0.0,0.0
201910240200,0,0,1.0,1.0,0.0,0.0
201910240300,0,0,1.0,1.0,0.0,0.0
201910240400,0,0,1.0,1.0,0.0,0.0
201910240500,1,1,0.99936161157611,0.8306059364845307,0.6515151515151515,0.6564885496183206
201910240600,1,1,0.9997304582210242,0.9743903527998312,0.8691588785046729,0.9073170731707317
201910240700,1,1,0.9994467300326287,0.9904778894435341,0.7412587412587412,0.8446215139442232
201910240800,1,1,0.9997872038587033,0.9906483875822627,0.8907563025210085,0.933920704845815
201910240900,1,1,0.9995034756703078,0.9940114065802773,0.7166666666666667,0.8309178743961353
201910241000,1,1,0.9993048659384309,0.9877545612839731,0.4606741573033708,0.6259541984732824
201910241100,1,1,0.9996737125833451,0.9692670027438184,0.8440366972477065,0.888888888888889
201910241200,1,1,0.9993757979855299,0.9189612948968995,0.8382352941176471,0.8382352941176471
201910241300,1,1,0.9996311533550858,0.9874212320107916,0.8770949720670391,0.9235294117647059
201910241400,1,1,0.9992764931195914,0.9996377480715413,0.6554054054054054,0.7918367346938776
201910241500,1,1,0.9992339338913321,0.9996167603474706,0.41304347826086957,0.5846153846153846
201910241600,1,1,0.9995176620797276,0.7114036409208412,0.36666666666666664,0.3928571428571428
201910241700,1,1,0.999616966945666,0.9805847393977503,0.49019607843137253,0.6493506493506493
201910241800,1,1,0.9995034756703078,0.9912840527416062,0.6304347826086957,0.7682119205298014
201910241900,1,1,0.9993899843949496,0.9228001860197024,0.36065573770491804,0.5057471264367815
201910242000,1,1,0.9984962406015038,0.4996166841761549,0.0,0.0
201910242100,1,1,0.9995318484891474,0.6363565387285683,0.9230769230769231,0.4210526315789473
