time,ground_truth,prediction,accuracy,precision,recall,f1
201811080000,0,0,1.0,1.0,0.0,0.0
201811080100,0,0,1.0,1.0,0.0,0.0
201811080200,0,0,1.0,1.0,0.0,0.0
201811080300,0,0,1.0,1.0,0.0,0.0
201811080400,0,0,1.0,1.0,0.0,0.0
201811080500,0,0,1.0,1.0,0.0,0.0
201811080600,0,0,1.0,1.0,0.0,0.0
201811080700,0,0,1.0,1.0,0.0,0.0
201811080800,0,0,1.0,1.0,0.0,0.0
201811080900,0,0,1.0,1.0,0.0,0.0
201811081000,0,0,1.0,1.0,0.0,0.0
201811081100,0,0,1.0,1.0,0.0,0.0
201811081200,0,0,1.0,1.0,0.0,0.0
201811081300,0,0,1.0,1.0,0.0,0.0
201811081400,0,0,1.0,1.0,0.0,0.0
201811081500,0,0,1.0,1.0,0.0,0.0
201811081600,0,0,1.0,1.0,0.0,0.0
201811081700,0,0,1.0,1.0,0.0,0.0
201811081800,0,0,1.0,1.0,0.0,0.0
201811081900,0,0,1.0,1.0,0.0,0.0
201811082000,0,0,1.0,1.0,0.0,0.0
201811082100,0,0,1.0,1.0,0.0,0.0
201811082200,0,0,1.0,1.0,0.0,0.0
201811082300,1,1,0.9986804071886389,0.9840159777127409,0.7682926829268293,0.8571428571428572
201811090000,1,1,0.9989317582003268,0.9900616559188136,0.7647058823529411,0.859504132231405
201811090100,1,1,0.9990574337061706,0.9651703695326908,0.8307692307692308,0.8780487804878049
201811090200,1,1,0.9982405429181852,0.7672098455061067,0.96875,0.6888888888888889
201811090300,1,1,0.9980520296594194,0.9727405175411004,0.375,0.537313432835821
201811090400,1,1,0.9989317582003268,0.9672697324995481,0.6590909090909091,0.7733333333333332
201811090500,1,1,0.998491893929873,0.8979266552282603,0.7966101694915254,0.7966101694915254
201811090600,1,1,0.9981777051652633,0.8893259357845731,0.7419354838709677,0.7603305785123968
201811090700,1,1,0.9974864898831218,0.9285273121188585,0.7227722772277227,0.7849462365591399
201811090800,1,1,0.9991831092120146,0.9694756608129989,0.93,0.9346733668341709
201811090900,1,1,0.9979263541535754,0.969262529020711,0.8088235294117647,0.8695652173913043
201811091000,1,1,0.9976121653889657,0.964197685468247,0.8053691275167785,0.8633093525179855
201811091100,1,1,0.9975493276360438,0.9945598757033534,0.7548387096774194,0.8571428571428572
201811091200,1,1,0.9958527083071509,0.9545081370779714,0.6225165562913907,0.7401574803149605
201811091300,1,1,0.9955385195425411,0.9093732445792607,0.5736434108527132,0.6757990867579909
