time,boundary
201910240500,"POLYGON ((-122.734 38.7615, -122.792 38.7706, -122.815 38.7796, -122.838 38.8066, -122.838 38.8157, -122.838 38.8247, -122.826 38.8247, -122.757 38.8157, -122.723 38.7796, -122.734 38.7615))"
201910240600,"POLYGON ((-122.746 38.7435, -122.757 38.7435, -122.769 38.7435, -122.792 38.7435, -122.803 38.7435, -122.872 38.7525, -122.907 38.7886, -122.907 38.7976, -122.884 38.8247, -122.872 38.8247, -122.861 38.8247, -122.838 38.8247, -122.826 38.8247, -122.803 38.8157, -122.734 38.7886, -122.723 38.7796, -122.734 38.7615, -122.746 38.7435))"
201910240700,"POLYGON ((-122.769 38.7164, -122.78 38.7164, -122.815 38.7164, -122.884 38.7254, -122.918 38.7615, -122.918 38.7705, -122.907 38.7976, -122.895 38.8066, -122.803 38.7976, -122.792 38.7976, -122.769 38.7886, -122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7164, -122.769 38.7164))"
201910240800,"POLYGON ((-122.815 38.7164, -122.884 38.7254, -122.918 38.7615, -122.918 38.7705, -122.907 38.7976, -122.895 38.8066, -122.803 38.7976, -122.792 38.7976, -122.769 38.7886, -122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.815 38.7164))"
201910240900,"POLYGON ((-122.884 38.7254, -122.907 38.7886, -122.907 38.7976, -122.895 38.8066, -122.838 38.7976, -122.815 38.7886, -122.769 38.7706, -122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.815 38.7164, -122.884 38.7254))"
201910241000,"POLYGON ((-122.757 38.7255, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.815 38.7164, -122.838 38.7255, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7705, -122.849 38.7706, -122.838 38.7706, -122.815 38.7706, -122.803 38.7706, -122.792 38.7616, -122.757 38.7345, -122.757 38.7255))"
201910241100,"POLYGON ((-122.826 38.6894, -122.849 38.6984, -122.884 38.7254, -122.884 38.7344, -122.884 38.7435, -122.872 38.7705, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.803 38.7976, -122.792 38.7976, -122.769 38.7886, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.769 38.6984, -122.78 38.6894, -122.792 38.6894, -122.826 38.6894))"
201910241200,"POLYGON ((-122.826 38.6894, -122.849 38.6984, -122.884 38.7254, -122.884 38.7344, -122.884 38.7435, -122.872 38.7705, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.803 38.7976, -122.792 38.7976, -122.769 38.7886, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.769 38.6984, -122.78 38.6894, -122.792 38.6894, -122.826 38.6894))"
201910241300,"POLYGON ((-122.792 38.6623, -122.803 38.6623, -122.837 38.6623, -122.86 38.6713, -122.872 38.6803, -122.93 38.7344, -122.93 38.7434, -122.93 38.7524, -122.849 38.7976, -122.838 38.7976, -122.815 38.7886, -122.757 38.7345, -122.734 38.6713, -122.746 38.6623, -122.757 38.6623, -122.769 38.6623, -122.792 38.6623))"
201910241400,"POLYGON ((-122.769 38.7886, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.769 38.6984, -122.78 38.6894, -122.792 38.6894, -122.826 38.6894, -122.849 38.6984, -122.884 38.7254, -122.884 38.7344, -122.884 38.7435, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.803 38.7976, -122.792 38.7976, -122.769 38.7886))"
201910241500,"POLYGON ((-122.815 38.6984, -122.826 38.6894, -122.849 38.6984, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.815 38.7886, -122.792 38.7616, -122.792 38.7525, -122.792 38.7435, -122.815 38.6984))"
201910241600,"POLYGON ((-122.815 38.7886, -122.826 38.7706, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.815 38.7886))"
201910241700,"POLYGON ((-122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7435, -122.769 38.7435, -122.792 38.7435, -122.803 38.7435, -122.826 38.7525, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.815 38.7886, -122.769 38.7706, -122.746 38.7616))"
201910241800,"POLYGON ((-122.705 39.1982, -122.769 38.7886, -122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7164, -122.632 37.9043, -122.621 37.8953, -122.621 37.8863, -122.621 37.8773, -122.632 37.8773, -122.655 37.8863, -122.655 37.8953, -122.815 38.7164, -122.838 38.7255, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.757 39.2088, -122.705 39.1982))"
201910241900,"POLYGON ((-122.714 39.1362, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.826 38.7525, -122.861 38.7796, -122.861 38.7886, -123.012 39.3158, -122.714 39.1362))"
201910242000,"MULTIPOLYGON (((-122.731 38.741, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7253, -122.731 38.741)), ((-123.878 39.8379, -123.878 39.839, -123.878 39.848, -123.878 39.857, -123.867 39.8571, -123.855 39.8572, -123.843 39.8483, -123.582 39.5076, -123.57 39.4987, -123.57 39.4896, -123.584 39.4051, -123.77 39.6054, -123.794 39.609, -123.878 39.8379)))"
