time,boundary
201910240500,"POLYGON ((-122.746 38.7706, -122.746 38.7706, -122.792 38.7706, -122.801 38.7783, -122.803 38.7796, -122.815 38.7796, -122.825 38.7952, -122.826 38.7976, -122.827 38.7984, -122.838 38.8066, -122.838 38.8157, -122.838 38.8247, -122.826 38.8247, -122.824 38.8228, -122.815 38.8157, -122.815 38.8157, -122.815 38.8157, -122.803 38.8157, -122.792 38.8157, -122.78 38.8157, -122.769 38.8157, -122.757 38.8157, -122.757 38.8067, -122.734 38.7886, -122.734 38.7884, -122.723 38.7796, -122.733 38.7638, -122.734 38.7615, -122.746 38.7706, -122.746 38.7706))"
201910240600,"POLYGON ((-122.803 38.7435, -122.804 38.7442, -122.815 38.7525, -122.826 38.7525, -122.826 38.7615, -122.849 38.7796, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.826 38.7886, -122.815 38.7886, -122.803 38.7976, -122.792 38.7976, -122.792 38.7976, -122.781 38.7891, -122.78 38.7886, -122.78 38.7886, -122.78 38.7886, -122.769 38.7886, -122.746 38.7616, -122.746 38.7525, -122.746 38.7442, -122.746 38.7435, -122.757 38.7435, -122.769 38.7435, -122.792 38.7435, -122.803 38.7435))"
201910240700,"POLYGON ((-122.838 38.7255, -122.838 38.7345, -122.861 38.7525, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7886, -122.849 38.7976, -122.849 38.7976, -122.838 38.7976, -122.828 38.7898, -122.826 38.7886, -122.826 38.7886, -122.826 38.7886, -122.815 38.7886, -122.815 38.7886, -122.815 38.7886, -122.806 38.7955, -122.803 38.7976, -122.792 38.7976, -122.781 38.7891, -122.78 38.7886, -122.78 38.7886, -122.78 38.7886, -122.769 38.7886, -122.769 38.7883, -122.78 38.7706, -122.792 38.7525, -122.792 38.7435, -122.803 38.7255, -122.814 38.7167, -122.815 38.7165, -122.824 38.7241, -122.826 38.7255, -122.838 38.7255))"
201910240800,"POLYGON ((-122.815 38.7165, -122.824 38.7241, -122.826 38.7255, -122.838 38.7255, -122.838 38.7345, -122.861 38.7525, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7886, -122.849 38.7976, -122.849 38.7976, -122.838 38.7976, -122.828 38.7898, -122.826 38.7886, -122.826 38.7886, -122.826 38.7886, -122.815 38.7886, -122.815 38.7886, -122.815 38.7886, -122.803 38.7706, -122.792 38.7616, -122.792 38.7525, -122.792 38.7435, -122.803 38.7255, -122.814 38.7167, -122.815 38.7165))"
201910240900,"POLYGON ((-122.801 38.7688, -122.792 38.7616, -122.792 38.7616, -122.792 38.7616, -122.78 38.7435, -122.769 38.7345, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.792 38.7254, -122.792 38.7255, -122.815 38.7165, -122.824 38.7241, -122.826 38.7255, -122.838 38.7255, -122.838 38.7345, -122.861 38.7525, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7705, -122.849 38.7706, -122.838 38.7706, -122.815 38.7706, -122.803 38.7706, -122.801 38.7688))"
201910241000,"POLYGON ((-122.824 38.7241, -122.826 38.7255, -122.838 38.7255, -122.838 38.7345, -122.861 38.7525, -122.869 38.7525, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7705, -122.855 38.7706, -122.849 38.7706, -122.838 38.7706, -122.815 38.7706, -122.803 38.7706, -122.801 38.7688, -122.792 38.7616, -122.792 38.7609, -122.792 38.7525, -122.792 38.7435, -122.803 38.7255, -122.814 38.7167, -122.815 38.7165, -122.824 38.7241))"
201910241100,"POLYGON ((-122.815 38.7164, -122.826 38.7255, -122.838 38.7255, -122.838 38.7345, -122.838 38.7435, -122.826 38.7435, -122.815 38.7435, -122.803 38.7345, -122.803 38.7255, -122.815 38.7164))"
201910241200,"POLYGON ((-122.86 38.7159, -122.872 38.7254, -122.884 38.7254, -122.884 38.7344, -122.884 38.7435, -122.872 38.7435, -122.861 38.7435, -122.849 38.7435, -122.838 38.7435, -122.826 38.7435, -122.815 38.7435, -122.803 38.7345, -122.792 38.7164, -122.78 38.7074, -122.769 38.7074, -122.769 38.6991, -122.769 38.6984, -122.779 38.69, -122.78 38.6894, -122.792 38.6894, -122.826 38.6894, -122.849 38.6984, -122.849 38.7074, -122.86 38.7159))"
201910241300,"POLYGON ((-122.883 38.6984, -122.883 38.6984, -122.895 38.7074, -122.895 38.7164, -122.884 38.7164, -122.872 38.7164, -122.861 38.7164, -122.838 38.7345, -122.838 38.7435, -122.826 38.7435, -122.815 38.7435, -122.803 38.7345, -122.792 38.7164, -122.78 38.7074, -122.769 38.7074, -122.769 38.6984, -122.78 38.6894, -122.792 38.6894, -122.826 38.6894, -122.849 38.6984, -122.861 38.6984, -122.872 38.6984, -122.883 38.6984))"
201910241400,"POLYGON ((-122.826 38.6894, -122.826 38.6894, -122.849 38.6984, -122.849 38.7074, -122.849 38.7074, -122.849 38.7164, -122.838 38.7164, -122.826 38.7164, -122.815 38.7074, -122.815 38.6984, -122.826 38.6894))"
