time,boundary
201910240500,"POLYGON ((-122.734 38.7615, -122.746 38.7706, -122.757 38.7706, -122.78 38.7706, -122.792 38.7706, -122.803 38.7796, -122.815 38.7796, -122.826 38.7976, -122.838 38.8066, -122.838 38.8157, -122.838 38.8247, -122.826 38.8247, -122.815 38.8157, -122.803 38.8157, -122.792 38.8157, -122.78 38.8157, -122.769 38.8157, -122.757 38.8157, -122.757 38.8067, -122.734 38.7886, -122.723 38.7796, -122.734 38.7615))"
201910240600,"POLYGON ((-122.757 38.7435, -122.769 38.7435, -122.792 38.7435, -122.803 38.7435, -122.815 38.7525, -122.826 38.7525, -122.838 38.7525, -122.849 38.7525, -122.861 38.7525, -122.872 38.7525, -122.872 38.7615, -122.895 38.7795, -122.907 38.7886, -122.907 38.7976, -122.895 38.8066, -122.884 38.8247, -122.872 38.8247, -122.861 38.8247, -122.838 38.8247, -122.826 38.8247, -122.815 38.8157, -122.803 38.8157, -122.792 38.7976, -122.78 38.7886, -122.769 38.7886, -122.757 38.7886, -122.746 38.7886, -122.734 38.7886, -122.723 38.7796, -122.734 38.7615, -122.746 38.7435, -122.757 38.7435))"
201910240700,"POLYGON ((-122.826 38.7255, -122.838 38.7255, -122.849 38.7254, -122.861 38.7254, -122.872 38.7254, -122.884 38.7254, -122.884 38.7344, -122.907 38.7525, -122.918 38.7615, -122.918 38.7705, -122.907 38.7886, -122.907 38.7976, -122.895 38.8066, -122.884 38.7976, -122.872 38.7976, -122.849 38.7976, -122.838 38.7976, -122.826 38.7886, -122.815 38.7886, -122.803 38.7976, -122.792 38.7976, -122.78 38.7886, -122.769 38.7886, -122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7255, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.815 38.7164, -122.826 38.7255))"
201910240800,"POLYGON ((-122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.815 38.7164, -122.826 38.7255, -122.838 38.7255, -122.849 38.7254, -122.861 38.7254, -122.872 38.7254, -122.884 38.7254, -122.884 38.7344, -122.907 38.7525, -122.918 38.7615, -122.918 38.7705, -122.907 38.7886, -122.907 38.7976, -122.895 38.8066, -122.884 38.7976, -122.872 38.7976, -122.849 38.7976, -122.838 38.7976, -122.826 38.7886, -122.815 38.7886, -122.803 38.7976, -122.792 38.7976, -122.78 38.7886, -122.769 38.7886, -122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7255, -122.757 38.7164))"
201910240900,"POLYGON ((-122.872 38.7254, -122.884 38.7254, -122.884 38.7344, -122.884 38.7435, -122.895 38.7795, -122.907 38.7886, -122.907 38.7976, -122.895 38.8066, -122.884 38.7976, -122.872 38.7976, -122.849 38.7976, -122.838 38.7976, -122.826 38.7886, -122.815 38.7886, -122.803 38.7706, -122.792 38.7616, -122.78 38.7616, -122.769 38.7706, -122.757 38.7616, -122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7255, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.815 38.7164, -122.826 38.7255, -122.838 38.7255, -122.849 38.7254, -122.861 38.7254, -122.872 38.7254))"
201910241000,"POLYGON ((-122.815 38.7164, -122.826 38.7255, -122.838 38.7255, -122.838 38.7345, -122.861 38.7525, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7705, -122.849 38.7706, -122.838 38.7706, -122.815 38.7706, -122.803 38.7706, -122.792 38.7616, -122.78 38.7435, -122.769 38.7345, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.815 38.7164))"
201910241200,"POLYGON ((-122.763 38.7074, -122.769 38.6984, -122.78 38.6894, -122.806 38.6894, -122.803 38.6984, -122.815 38.7164, -122.826 38.7255, -122.838 38.7255, -122.838 38.7345, -122.838 38.7435, -122.826 38.7435, -122.815 38.7435, -122.803 38.7345, -122.792 38.7164, -122.78 38.7074, -122.769 38.7074, -122.763 38.7074))"
201910241300,"POLYGON ((-122.746 38.6623, -122.757 38.6623, -122.769 38.6623, -122.792 38.6623, -122.803 38.6623, -122.837 38.6623, -122.86 38.6713, -122.872 38.6803, -122.883 38.6984, -122.895 38.7074, -122.918 38.7254, -122.93 38.7344, -122.93 38.7434, -122.93 38.7524, -122.918 38.7525, -122.907 38.7434, -122.895 38.7435, -122.872 38.7615, -122.872 38.7705, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.826 38.7886, -122.815 38.7886, -122.803 38.7706, -122.792 38.7616, -122.78 38.7435, -122.769 38.7345, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.746 38.6804, -122.734 38.6713, -122.746 38.6623))"
201910241400,"POLYGON ((-122.792 38.7976, -122.78 38.7886, -122.769 38.7886, -122.78 38.7706, -122.78 38.7435, -122.769 38.7345, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.769 38.6984, -122.78 38.6894, -122.792 38.6894, -122.826 38.6894, -122.849 38.6984, -122.849 38.7074, -122.872 38.7254, -122.884 38.7254, -122.884 38.7344, -122.884 38.7435, -122.872 38.7435, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.826 38.7886, -122.815 38.7886, -122.803 38.7976, -122.792 38.7976))"
201910241800,"MULTIPOLYGON (((-122.632 37.8773, -122.655 37.8863, -122.655 37.8953, -122.644 37.9043, -122.632 37.9043, -122.621 37.8953, -122.621 37.8863, -122.621 37.8773, -122.632 37.8773)), ((-122.824 38.7241, -122.826 38.7255, -122.838 38.7255, -122.838 38.7345, -122.838 38.7435, -122.847 38.7733, -122.849 38.7796, -122.861 38.7796, -122.861 38.7886, -122.852 38.7954, -122.849 38.7976, -122.838 38.7976, -122.826 38.7886, -122.815 38.7886, -122.803 38.7976, -122.792 38.7976, -122.781 38.7891, -122.78 38.7886, -122.78 38.7886, -122.78 38.7886, -122.769 38.7886, -122.769 38.7883, -122.78 38.7706, -122.78 38.7435, -122.769 38.7345, -122.757 38.7345, -122.757 38.7255, -122.757 38.7254, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.815 38.7165, -122.824 38.7241)))"
201910241900,"POLYGON ((-122.792 38.7252, -122.792 38.7255, -122.803 38.7435, -122.815 38.7525, -122.826 38.7525, -122.826 38.7615, -122.838 38.7706, -122.815 38.7706, -122.803 38.7706, -122.801 38.7688, -122.792 38.7616, -122.792 38.7609, -122.792 38.7525, -122.792 38.7435, -122.792 38.7252))"
