time,boundary
201811082300,"MULTIPOLYGON (((-118.961 34.1897, -118.972 34.1897, -118.983 34.1897, -118.993 34.1897, -118.993 34.1988, -119.015 34.2169, -119.015 34.2259, -119.015 34.235, -119.004 34.235, -118.993 34.235, -118.972 34.235, -118.961 34.235, -118.929 34.235, -118.907 34.2259, -118.907 34.2169, -118.885 34.1988, -118.896 34.1807, -118.907 34.1807, -118.939 34.1807, -118.961 34.1897)), ((-118.712 34.2166, -118.734 34.2257, -118.734 34.2348, -118.723 34.2438, -118.701 34.2347, -118.701 34.2256, -118.712 34.2166)))"
201811090000,"MULTIPOLYGON (((-118.939 34.1807, -118.961 34.1897, -118.972 34.1897, -118.983 34.1897, -118.993 34.1897, -118.993 34.1988, -119.015 34.2169, -119.015 34.2259, -119.015 34.235, -119.004 34.235, -118.993 34.235, -118.972 34.235, -118.961 34.235, -118.929 34.235, -118.907 34.2259, -118.907 34.2169, -118.918 34.2078, -118.929 34.1897, -118.939 34.1807)), ((-118.734 34.2257, -118.734 34.2348, -118.723 34.2438, -118.701 34.2347, -118.701 34.2256, -118.712 34.2166, -118.734 34.2257)))"
201811090100,"MULTIPOLYGON (((-118.939 34.1807, -118.961 34.1897, -118.972 34.1897, -118.983 34.1897, -118.993 34.1897, -118.993 34.1988, -119.015 34.2169, -119.015 34.2259, -119.015 34.235, -119.004 34.235, -118.993 34.235, -118.972 34.235, -118.961 34.235, -118.929 34.235, -118.907 34.2259, -118.907 34.2169, -118.918 34.2078, -118.929 34.1897, -118.939 34.1807)), ((-118.766 34.2258, -118.766 34.2348, -118.766 34.2439, -118.755 34.2438, -118.723 34.2438, -118.701 34.2347, -118.701 34.2256, -118.712 34.2166, -118.734 34.2257, -118.745 34.2257, -118.755 34.2257, -118.766 34.2258)))"
201811090200,"MULTIPOLYGON (((-118.972 34.235, -118.961 34.235, -118.929 34.235, -118.907 34.2259, -118.907 34.2169, -118.918 34.2078, -118.929 34.2078, -118.961 34.2078, -118.983 34.2169, -118.983 34.2259, -118.972 34.235)), ((-118.734 34.2257, -118.734 34.2348, -118.723 34.2438, -118.701 34.2347, -118.701 34.2256, -118.712 34.2166, -118.734 34.2257)))"
201811090300,"MULTIPOLYGON (((-118.961 34.235, -118.95 34.2259, -118.95 34.2169, -118.961 34.2078, -118.983 34.2169, -118.983 34.2259, -118.972 34.235, -118.961 34.235)), ((-118.701 34.2348, -118.701 34.2347, -118.701 34.2348, -118.701 34.2347, -118.701 34.2256, -118.712 34.2166, -118.734 34.2257, -118.734 34.2348, -118.723 34.2438, -118.701 34.2348)))"
201811090400,"MULTIPOLYGON (((-118.961 34.235, -118.95 34.2259, -118.95 34.2169, -118.961 34.2078, -118.983 34.2169, -118.983 34.2259, -118.972 34.235, -118.961 34.235)), ((-118.734 34.1986, -118.745 34.1986, -118.745 34.2076, -118.766 34.2258, -118.766 34.2348, -118.766 34.2439, -118.755 34.2438, -118.723 34.2438, -118.701 34.2347, -118.701 34.2256, -118.712 34.2166, -118.723 34.1986, -118.734 34.1986)))"
201811090500,"MULTIPOLYGON (((-118.68 34.1985, -118.69 34.1985, -118.701 34.1985, -118.712 34.1985, -118.723 34.1986, -118.734 34.1986, -118.745 34.1986, -118.766 34.1986, -118.777 34.1986, -118.788 34.2077, -118.799 34.2258, -118.809 34.2349, -118.809 34.2439, -118.799 34.2439, -118.788 34.2439, -118.766 34.2439, -118.755 34.2438, -118.723 34.2438, -118.701 34.2347, -118.69 34.2166, -118.68 34.2075, -118.68 34.1985)), ((-118.961 34.235, -118.95 34.2259, -118.95 34.2169, -118.961 34.2078, -118.983 34.2169, -118.983 34.2259, -118.972 34.235, -118.961 34.235)))"
201811090600,"MULTIPOLYGON (((-118.788 34.2439, -118.788 34.2439, -118.766 34.2439, -118.76 34.2438, -118.755 34.2438, -118.734 34.2438, -118.723 34.2438, -118.715 34.2404, -118.701 34.2347, -118.69 34.2166, -118.685 34.2116, -118.68 34.2075, -118.68 34.1985, -118.697 34.1985, -118.701 34.1985, -118.712 34.1985, -118.712 34.1985, -118.723 34.1986, -118.734 34.1986, -118.745 34.1986, -118.766 34.1986, -118.777 34.1986, -118.788 34.2077, -118.799 34.2258, -118.809 34.2349, -118.809 34.2439, -118.788 34.2439)), ((-118.961 34.2078, -118.983 34.2169, -118.983 34.2259, -118.972 34.235, -118.961 34.235, -118.95 34.2259, -118.95 34.2169, -118.961 34.2078)))"
201811090700,"POLYGON ((-118.809 34.1802, -118.81 34.1806, -118.816 34.1969, -118.82 34.2077, -118.82 34.2168, -118.82 34.2258, -118.82 34.2258, -118.809 34.2258, -118.777 34.2258, -118.766 34.2439, -118.76 34.2438, -118.755 34.2438, -118.744 34.2348, -118.723 34.2166, -118.701 34.2166, -118.69 34.2166, -118.685 34.2116, -118.68 34.2075, -118.68 34.1985, -118.69 34.1895, -118.701 34.1804, -118.701 34.1714, -118.714 34.1714, -118.723 34.1714, -118.73 34.1714, -118.745 34.1715, -118.755 34.1715, -118.788 34.1715, -118.809 34.1802))"
201811090800,"POLYGON ((-118.766 34.1445, -118.783 34.1515, -118.788 34.1534, -118.793 34.1534, -118.799 34.1535, -118.81 34.1535, -118.82 34.1535, -118.82 34.1625, -118.82 34.1716, -118.82 34.2077, -118.82 34.2168, -118.82 34.2258, -118.82 34.2258, -118.809 34.2258, -118.777 34.2258, -118.766 34.2439, -118.76 34.2438, -118.755 34.2438, -118.734 34.2438, -118.723 34.2438, -118.715 34.2404, -118.701 34.2347, -118.69 34.2166, -118.685 34.2116, -118.68 34.2075, -118.68 34.1985, -118.69 34.1895, -118.701 34.1804, -118.701 34.1714, -118.714 34.1714, -118.723 34.1714, -118.73 34.1714, -118.745 34.1715, -118.756 34.1534, -118.762 34.1478, -118.766 34.1445))"
