Day,Time,x,y,C01,C02,C06,C07_minus_C14
8,2.01811E+11,166,133,1.424390052,-1.111234987,7.924236867,107.8037946
9,2.01811E+11,50,210,4.392756742,3.945903792,-0.377788645,68.92555748
8,2.01811E+11,130,142,-2.158560882,0.864138296,-4.957797519,87.71573839
10,2.01811E+11,150,180,6.61518532,3.578496031,-5.720361747,-225.4325916
10,2.01811E+11,150,190,4.13294313,8.248607164,-6.323984022,-221.0991696
11,2.01811E+11,160,160,-4.424502176,1.36046878,-13.19400051,-215.635242
11,2.01811E+11,166,150,-12.73464442,-5.649138878,-15.48468181,-209.1765346
8,2.01811E+11,168,130,5.397783552,6.683388911,56.06467541,140.9300999
9,2.01811E+11,25,280,-1.563995297,0.199853058,-4.23683652,60.97263993
9,2.01811E+11,130,140,5.156627661,2.477000639,-3.633403853,72.06000724
9,2.01811E+11,182,208,1.805485698,2.176705659,-2.910223722,66.84738658
9,2.01811E+11,50,210,4.144148636,5.114008713,-1.463217564,68.56967253
9,2.01811E+11,86,242,3.895553274,7.120954888,-1.342787478,69.01422148
9,2.01811E+11,38,175,5.509936441,5.054864885,2.395925589,66.88295546
8,2.01811E+11,163,128,1.423993563,0.926830948,1.408999818,94.00286859
8,2.01811E+11,167,130,-4.783353784,-3.569916874,3.217763686,108.1483656
8,2.01811E+11,70,210,5.397306272,5.423945608,0.35045294,70.8267348
8,2.01811E+11,147,187,-9.993063011,-7.613380563,-13.4279758,62.71914267
,high,,,0.588962553,1.980910098,1.607185766,52.19471256
,low,,,1.601184159,1.839281531,-1.797297419,-3.257719004
