time,ground_truth,prediction,accuracy,precision,recall,f1
201811082300,1,1,0.997235138871434,0.7438392758106459,0.9523809523809523,0.6451612903225806
201811090000,1,1,0.9924594696493654,0.5056805948430111,0.018518518518518517,0.016393442622950817
201811090100,1,1,0.9983662184240292,0.8536253197241273,0.8679245283018868,0.7796610169491526
201811090200,1,1,0.9986804071886389,0.9213712851026319,0.627906976744186,0.72
201811090300,1,1,0.9976750031418876,0.6249684860708433,0.9230769230769231,0.39344262295081966
201811090400,1,1,0.9983033806711072,0.7385103396918142,0.84,0.6086956521739131
201811090500,1,1,0.9980520296594194,0.8217185403738327,0.7916666666666666,0.7102803738317757
201811090600,1,1,0.9977378408948095,0.7980401373999821,0.7708333333333334,0.6727272727272728
201811090700,1,1,0.9976121653889657,0.8118811881188119,1.0,0.7682926829268292
201811090800,1,1,0.9984290561769511,0.884936764891868,0.9746835443037974,0.8603351955307262
201811090900,1,1,0.9967324368480583,0.8270474338803844,0.9468085106382979,0.773913043478261
201811091000,1,1,0.9964810858363705,0.815404525784541,0.9894736842105263,0.7704918032786885
