time,boundary
201811081600,"POLYGON ((-121.669 39.8688, -121.664 39.8723, -121.658 39.8723, -121.652 39.8723, -121.652 39.8723, -121.652 39.8723, -121.611 39.8903, -121.608 39.8926, -121.606 39.8948, -121.6 39.8948, -121.594 39.8948, -121.588 39.8939, -121.565 39.8903, -121.565 39.8903, -121.565 39.8903, -121.559 39.8903, -121.553 39.8903, -121.55 39.8903, -121.547 39.8902, -121.512 39.8902, -121.51 39.8895, -121.5 39.8857, -121.489 39.8828, -121.483 39.8812, -121.474 39.8706, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.405 39.8056, -121.389 39.791, -121.386 39.7885, -121.384 39.7865, -121.39 39.7685, -121.395 39.7685, -121.401 39.7685, -121.407 39.7685, -121.448 39.7461, -121.454 39.7461, -121.46 39.7461, -121.463 39.7462, -121.466 39.7462, -121.497 39.7462, -121.501 39.7462, -121.508 39.7493, -121.512 39.7507, -121.512 39.7507, -121.512 39.7507, -121.522 39.7507, -121.547 39.7508, -121.547 39.7508, -121.547 39.7508, -121.565 39.7553, -121.588 39.7553, -121.594 39.7553, -121.612 39.7598, -121.635 39.7598, -121.641 39.7598, -121.647 39.7598, -121.658 39.7643, -121.664 39.7688, -121.664 39.7733, -121.664 39.7778, -121.664 39.7823, -121.688 39.8228, -121.688 39.8273, -121.688 39.8318, -121.682 39.8453, -121.67 39.8678, -121.669 39.8688))"
201811081800,"POLYGON ((-121.682 39.7418, -121.682 39.7463, -121.682 39.7508, -121.676 39.7598, -121.668 39.7779, -121.664 39.7868, -121.652 39.8093, -121.645 39.8257, -121.641 39.8363, -121.63 39.8528, -121.629 39.8543, -121.623 39.8678, -121.617 39.8678, -121.611 39.8678, -121.606 39.8678, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.424 39.7893, -121.43 39.7776, -121.448 39.7461, -121.454 39.7461, -121.46 39.7461, -121.463 39.7462, -121.466 39.7462, -121.487 39.7345, -121.506 39.7237, -121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.546 39.6993, -121.553 39.7013, -121.565 39.7013, -121.571 39.7013, -121.577 39.7013, -121.582 39.7013, -121.617 39.7013, -121.632 39.705, -121.635 39.7058, -121.647 39.7103, -121.67 39.7373, -121.682 39.7418))"
201811081900,"POLYGON ((-121.682 39.7418, -121.682 39.7463, -121.682 39.7508, -121.676 39.7598, -121.668 39.7779, -121.664 39.7868, -121.652 39.8093, -121.645 39.8257, -121.641 39.8363, -121.63 39.8528, -121.629 39.8543, -121.623 39.8678, -121.617 39.8678, -121.611 39.8678, -121.606 39.8678, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.424 39.7893, -121.43 39.7776, -121.448 39.7461, -121.454 39.7461, -121.46 39.7461, -121.466 39.7462, -121.506 39.7237, -121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.546 39.6993, -121.553 39.7013, -121.565 39.7013, -121.571 39.7013, -121.577 39.7013, -121.582 39.7013, -121.617 39.7013, -121.632 39.705, -121.635 39.7058, -121.647 39.7103, -121.67 39.7373, -121.682 39.7418))"
201811082000,"POLYGON ((-121.693 39.7148, -121.693 39.7193, -121.693 39.7238, -121.693 39.7283, -121.693 39.7328, -121.688 39.7405, -121.682 39.7508, -121.676 39.7598, -121.676 39.7601, -121.664 39.7868, -121.652 39.8093, -121.641 39.8363, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.571 39.8678, -121.559 39.8633, -121.538 39.8632, -121.524 39.8632, -121.512 39.8587, -121.501 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.424 39.7893, -121.43 39.7776, -121.448 39.7461, -121.45 39.7426, -121.46 39.7236, -121.466 39.7192, -121.471 39.7192, -121.477 39.7192, -121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.553 39.7013, -121.565 39.7013, -121.571 39.7013, -121.577 39.7013, -121.582 39.7013, -121.617 39.7013, -121.635 39.7058, -121.664 39.7058, -121.667 39.7066, -121.682 39.7103, -121.688 39.7129, -121.693 39.7148))"
201811082100,"POLYGON ((-121.598 39.6753, -121.612 39.6788, -121.612 39.6788, -121.612 39.6788, -121.626 39.6788, -121.629 39.6788, -121.635 39.6788, -121.641 39.6788, -121.647 39.6788, -121.654 39.6816, -121.658 39.6833, -121.664 39.6878, -121.693 39.7148, -121.704 39.7273, -121.717 39.7418, -121.722 39.7437, -121.728 39.7463, -121.726 39.7535, -121.723 39.7643, -121.711 39.7868, -121.711 39.787, -121.705 39.7913, -121.699 39.7913, -121.693 39.7913, -121.652 39.8093, -121.641 39.8363, -121.635 39.8408, -121.635 39.8408, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.623 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.574 39.8651, -121.571 39.8677, -121.559 39.8633, -121.559 39.8633, -121.559 39.8633, -121.538 39.8632, -121.524 39.8632, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.495 39.8542, -121.448 39.8271, -121.442 39.8271, -121.425 39.8227, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.442 39.7641, -121.448 39.7463, -121.448 39.7461, -121.45 39.7426, -121.46 39.7236, -121.466 39.7192, -121.471 39.7192, -121.477 39.7192, -121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.577 39.6788, -121.582 39.6743, -121.588 39.6743, -121.594 39.6743, -121.598 39.6753))"
201811082200,"POLYGON ((-121.641 39.8362, -121.641 39.8363, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.623 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.574 39.8651, -121.571 39.8677, -121.559 39.8633, -121.559 39.8633, -121.559 39.8633, -121.538 39.8632, -121.524 39.8632, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.495 39.8542, -121.448 39.8271, -121.442 39.8271, -121.425 39.8227, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.442 39.7641, -121.448 39.7463, -121.448 39.7461, -121.45 39.7426, -121.46 39.7236, -121.472 39.6967, -121.475 39.6939, -121.477 39.6922, -121.483 39.6922, -121.489 39.6922, -121.507 39.6967, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.577 39.6788, -121.582 39.6743, -121.588 39.6743, -121.594 39.6743, -121.612 39.6788, -121.623 39.6788, -121.629 39.6788, -121.635 39.6788, -121.641 39.6788, -121.647 39.6788, -121.658 39.6833, -121.664 39.6878, -121.693 39.7148, -121.693 39.7193, -121.693 39.7238, -121.693 39.7283, -121.693 39.7328, -121.682 39.7508, -121.676 39.7598, -121.664 39.7868, -121.652 39.8093, -121.641 39.8362))"
201811082300,"POLYGON ((-121.704 39.7273, -121.717 39.7418, -121.722 39.7437, -121.728 39.7463, -121.726 39.7535, -121.723 39.7643, -121.722 39.7649, -121.717 39.7688, -121.711 39.7688, -121.664 39.7868, -121.652 39.8093, -121.641 39.8362, -121.641 39.8363, -121.64 39.8367, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.483 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7956, -121.477 39.7777, -121.489 39.7552, -121.506 39.7237, -121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.577 39.6788, -121.582 39.6743, -121.588 39.6743, -121.594 39.6743, -121.612 39.6788, -121.623 39.6788, -121.629 39.6788, -121.635 39.6788, -121.641 39.6788, -121.647 39.6788, -121.658 39.6833, -121.664 39.6878, -121.693 39.7148, -121.704 39.7273))"
201811090000,"POLYGON ((-121.74 39.7193, -121.74 39.7238, -121.74 39.7283, -121.74 39.7325, -121.74 39.7328, -121.723 39.7643, -121.711 39.7868, -121.705 39.7913, -121.699 39.7913, -121.693 39.7913, -121.652 39.8093, -121.649 39.8183, -121.6481585365854 39.8183, -121.645 39.8257, -121.641 39.8363, -121.64 39.8367, -121.635 39.8408, -121.623 39.8408, -121.617 39.8408, -121.594 39.8363, -121.588 39.8363, -121.576 39.8363, -121.571 39.8363, -121.553 39.8363, -121.506 39.8407, -121.5 39.8452, -121.489 39.8407, -121.471 39.8272, -121.471 39.8227, -121.471 39.8182, -121.477 39.8047, -121.483 39.7912, -121.524 39.7642, -121.565 39.7283, -121.571 39.7148, -121.588 39.6519, -121.588 39.6518, -121.594 39.6473, -121.606 39.6473, -121.614 39.6494, -121.623 39.6518, -121.629 39.6563, -121.676 39.6788, -121.684 39.6809, -121.693 39.6833, -121.705 39.6878, -121.709 39.6919, -121.728 39.7148, -121.74 39.7193))"
201811090100,"POLYGON ((-121.606 39.6473, -121.614 39.6494, -121.623 39.6518, -121.623 39.6518, -121.623 39.6518, -121.641 39.6518, -121.647 39.6518, -121.652 39.6518, -121.667 39.6555, -121.67 39.6563, -121.676 39.6608, -121.705 39.6878, -121.709 39.6919, -121.728 39.7148, -121.74 39.7193, -121.763 39.7462, -121.769 39.7507, -121.769 39.7552, -121.769 39.7597, -121.769 39.7642, -121.769 39.7687, -121.763 39.7687, -121.758 39.7687, -121.755 39.7688, -121.752 39.7688, -121.711 39.7868, -121.706 39.7991, -121.699 39.8138, -121.693 39.8183, -121.687 39.8183, -121.682 39.8183, -121.676 39.8183, -121.641 39.8183, -121.624 39.8297, -121.61 39.8394, -121.594 39.8363, -121.588 39.8363, -121.576 39.8363, -121.571 39.8363, -121.553 39.8363, -121.506 39.8407, -121.5 39.8452, -121.489 39.8407, -121.471 39.8272, -121.471 39.8227, -121.471 39.8182, -121.477 39.8047, -121.483 39.7912, -121.524 39.7642, -121.565 39.7283, -121.571 39.7148, -121.588 39.6519, -121.588 39.6518, -121.594 39.6473, -121.606 39.6473))"
201811091600,"POLYGON ((-121.492 39.6675, -121.495 39.6652, -121.501 39.6652, -121.536 39.6697, -121.539 39.6698, -121.542 39.6698, -121.547 39.6698, -121.565 39.6743, -121.571 39.6788, -121.6 39.7058, -121.6 39.7103, -121.6 39.7148, -121.6 39.7193, -121.6 39.7238, -121.623 39.7643, -121.631 39.7735, -121.647 39.7913, -121.649 39.7935, -121.652 39.7958, -121.652 39.8003, -121.652 39.8048, -121.652 39.8093, -121.641 39.8363, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.483 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.413 39.7405, -121.413 39.7371, -121.409 39.7326, -121.39 39.71, -121.384 39.7055, -121.384 39.6903, -121.384 39.6875, -121.384 39.6871, -121.39 39.683, -121.394 39.6842, -121.407 39.6876, -121.433 39.6876, -121.437 39.6876, -121.442 39.6876, -121.489 39.6697, -121.492 39.6675))"
