time,boundary
201806300100,"POLYGON ((-120.862 37.9915, -120.862 37.9825, -120.873 37.9826, -120.885 37.9828, -120.885 37.9918, -120.884 38.0008, -120.873 38.0007, -120.862 38.0006, -120.862 37.9915))"
201806301800,"POLYGON ((-122.298 39.3883, -122.309 39.3793, -122.321 39.3793, -122.333 39.3883, -122.368 39.4153, -122.415 39.6137, -122.415 39.6227, -122.403 39.6317, -122.38 39.6228, -122.345 39.5957, -122.286 39.4244, -122.286 39.4154, -122.286 39.4064, -122.298 39.3883))"
201806302200,"POLYGON ((-122.626 37.8875, -122.557 37.8721, -122.545 37.8631, -122.511 37.8361, -122.488 37.8091, -122.488 37.8001, -122.488 37.7911, -122.499 37.764, -122.511 37.7459, -122.522 37.7368, -122.539 37.7192, -122.626 37.8875))"
201806302200,"POLYGON ((-122.205 38.7749, -122.557 37.8721, -122.228 38.7839, -122.228 38.793, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.193 38.7839, -122.205 38.7749))"
201806302300,"POLYGON ((-122.69 37.9559, -122.251 38.7569, -122.551 39.0179, -122.574 39.0269, -122.574 39.0359, -122.574 39.0449, -122.563 39.045, -122.551 39.045, -122.54 39.036, -122.205 38.802, -122.193 38.793, -122.17 38.7659, -122.17 38.7569, -122.17 38.7479, -122.182 38.7479, -122.477 37.8362, -122.466 37.8272, -122.466 37.8182, -122.465 37.746, -122.465 37.737, -122.488 37.7099, -122.522 37.6798, -122.671 37.9438, -122.69 37.9559))"
201807010000,"POLYGON ((-122.878 38.0967, -122.297 38.7659, -122.285 38.7839, -122.274 38.802, -122.262 38.802, -122.251 38.802, -122.239 38.802, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.17 38.7659, -122.17 38.7569, -122.17 38.7479, -122.182 38.7208, -122.466 37.8272, -122.443 37.728, -122.443 37.719, -122.443 37.71, -122.514 37.666, -122.671 37.9438, -122.797 38.0245, -122.808 38.0334, -122.865 38.0872, -122.878 38.0967))"
201807010100,"POLYGON ((-122.887 38.1395, -122.262 38.7388, -122.262 38.7478, -122.251 38.7659, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.182 38.7388, -122.182 38.7298, -122.182 38.7208, -122.5 37.8632, -122.466 37.8272, -122.454 37.7731, -122.443 37.728, -122.443 37.719, -122.443 37.71, -122.507 37.653, -122.682 37.9618, -122.694 37.9708, -122.728 37.9977, -122.762 38.0246, -122.785 38.0516, -122.854 38.1144, -122.887 38.1395))"
201807010200,"MULTIPOLYGON (((-123.138 38.5025, -122.574 39.0269, -122.574 39.0359, -122.574 39.0449, -122.563 39.045, -122.551 39.045, -122.54 39.036, -122.54 39.027, -122.551 39.0179, -122.976 38.3492, -123.133 38.5004, -123.138 38.5025)), ((-122.714 37.9869, -122.728 37.9977, -122.738 38.0157, -122.714 37.9869)), ((-122.661 37.9308, -122.648 37.9259, -122.375 37.8815, -122.364 37.8816, -122.352 37.8726, -122.352 37.8635, -122.364 37.8365, -122.472 37.6624, -122.661 37.9308)))"
201807010300,"POLYGON ((-123.027 38.502, -122.262 38.7478, -122.251 38.7478, -122.239 38.7478, -122.228 38.7479, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.182 38.7298, -122.182 38.7208, -121.624 38.0608, -121.612 38.0608, -121.59 38.0516, -121.59 38.0426, -121.601 38.0337, -122.095 37.7503, -122.114 37.8456, -122.239 38.0441, -122.525 38.3233, -122.594 38.3502, -122.616 38.3591, -122.754 38.4487, -123.027 38.502))"
201807010400,"POLYGON ((-122.193 38.7028, -122.205 38.6937, -122.228 38.7027, -122.262 38.7388, -122.262 38.7478, -122.251 38.7478, -122.239 38.7478, -122.228 38.7479, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.182 38.7298, -122.182 38.7208, -122.193 38.7028))"
201807010500,"POLYGON ((-122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.216 38.6667, -122.239 38.6757, -122.274 38.7117, -122.274 38.7208, -122.262 38.7298, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.147 38.7118, -122.147 38.7027, -122.147 38.6937, -122.159 38.6757))"
201807010600,"POLYGON ((-122.216 38.6667, -122.239 38.6757, -122.239 38.6847, -122.239 38.6937, -122.228 38.7208, -122.216 38.7208, -122.205 38.7208, -122.193 38.7118, -122.159 38.6847, -122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.216 38.6667))"
