time,boundary
201806300100,"POLYGON ((-120.862 37.9915, -120.862 37.9825, -120.873 37.9826, -120.885 37.9828, -120.885 37.9918, -120.884 38.0008, -120.873 38.0007, -120.862 38.0006, -120.862 37.9915))"
201806302200,"POLYGON ((-122.21 38.7626, -122.228 38.7839, -122.228 38.793, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.193 38.7839, -122.205 38.7749, -122.21 38.7626))"
201806302300,"POLYGON ((-122.251 38.7569, -122.274 38.7839, -122.551 39.0179, -122.574 39.0269, -122.574 39.0359, -122.574 39.0449, -122.563 39.045, -122.551 39.045, -122.54 39.036, -122.205 38.802, -122.193 38.793, -122.17 38.7659, -122.17 38.7569, -122.17 38.7479, -122.182 38.7479, -122.191 38.7208, -122.193 38.7208, -122.216 38.7298, -122.251 38.7569))"
201807010000,"POLYGON ((-122.297 38.7659, -122.285 38.7839, -122.274 38.802, -122.262 38.802, -122.251 38.802, -122.239 38.802, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.17 38.7659, -122.17 38.7569, -122.17 38.7479, -122.182 38.7208, -122.193 38.7208, -122.251 38.7298, -122.262 38.7388, -122.285 38.7568, -122.297 38.7659))"
201807010100,"POLYGON ((-122.273 38.7286, -122.262 38.7388, -122.262 38.7478, -122.251 38.7659, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.182 38.7388, -122.182 38.7208, -122.193 38.7208, -122.273 38.7286))"
201807010200,"POLYGON ((-122.574 39.0269, -122.574 39.0449, -122.563 39.045, -122.551 39.045, -122.54 39.036, -122.54 39.027, -122.551 39.0179, -122.556 39.0099, -122.574 39.0269))"
201807010300,"POLYGON ((-122.94 38.485, -123.027 38.502, -122.953 38.5257, -122.262 38.7388, -122.94 38.485))"
201807010300,"POLYGON ((-122.262 38.7478, -122.251 38.7478, -122.239 38.7478, -122.228 38.7479, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.182 38.7298, -122.182 38.7208, -122.159 38.6937, -122.17 38.6937, -122.205 38.6937, -122.228 38.7027, -122.262 38.7388, -122.262 38.7478))"
201807010400,"POLYGON ((-122.228 38.7027, -122.262 38.7388, -122.262 38.7478, -122.251 38.7478, -122.239 38.7478, -122.228 38.7479, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.182 38.7298, -122.182 38.7208, -122.193 38.7028, -122.205 38.6937, -122.228 38.7027))"
201807010500,"POLYGON ((-122.216 38.6667, -122.239 38.6757, -122.274 38.7117, -122.274 38.7208, -122.262 38.7298, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.147 38.7118, -122.147 38.7027, -122.147 38.6937, -122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.216 38.6667))"
201807010600,"POLYGON ((-122.239 38.6757, -122.239 38.6847, -122.239 38.6937, -122.228 38.7208, -122.216 38.7208, -122.205 38.7208, -122.193 38.7118, -122.159 38.6847, -122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.216 38.6667, -122.239 38.6757))"
201807010700,"POLYGON ((-122.239 38.6757, -122.239 38.6847, -122.239 38.6937, -122.228 38.7208, -122.216 38.7208, -122.205 38.7208, -122.17 38.7208, -122.147 38.7118, -122.147 38.7027, -122.147 38.6937, -122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.216 38.6667, -122.239 38.6757))"
201807010800,"POLYGON ((-122.147 38.7118, -122.147 38.7027, -122.147 38.6937, -122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.193 38.6757, -122.228 38.7027, -122.262 38.7388, -122.262 38.7478, -122.251 38.7478, -122.239 38.7478, -122.228 38.7479, -122.17 38.7208, -122.147 38.7118))"
201807010900,"POLYGON ((-122.274 38.7117, -122.274 38.7208, -122.262 38.7298, -122.205 38.7208, -122.193 38.7118, -122.193 38.7028, -122.205 38.6937, -122.262 38.7027, -122.274 38.7117))"
201807011000,"POLYGON ((-122.285 38.7839, -122.251 38.7749, -122.228 38.7479, -122.228 38.7388, -122.228 38.7298, -122.239 38.7298, -122.251 38.7298, -122.262 38.7388, -122.285 38.7568, -122.297 38.7659, -122.285 38.7839))"
201807011100,"POLYGON ((-122.216 38.6486, -122.216 38.6576, -122.205 38.6667, -122.193 38.6667, -122.182 38.6576, -122.182 38.6486, -122.182 38.6396, -122.193 38.6396, -122.216 38.6486))"
201807011200,"POLYGON ((-122.228 38.6277, -122.228 38.6306, -122.228 38.6396, -122.216 38.6576, -122.205 38.6667, -122.193 38.6667, -122.182 38.6576, -122.147 38.6306, -122.147 38.6216, -122.147 38.6125, -122.159 38.6125, -122.17 38.6125, -122.205 38.6125, -122.217 38.6172, -122.228 38.6277))"
201807011300,"POLYGON ((-122.227 38.6213, -122.228 38.6215, -122.228 38.6218, -122.228 38.6306, -122.228 38.6396, -122.216 38.6576, -122.205 38.6667, -122.193 38.6667, -122.182 38.6576, -122.147 38.6306, -122.113 38.6035, -122.113 38.5854, -122.124 38.5855, -122.136 38.5855, -122.147 38.5855, -122.205 38.6125, -122.227 38.6213))"
201807011400,"POLYGON ((-122.113 38.5945, -122.113 38.5854, -122.124 38.5855, -122.136 38.5855, -122.147 38.5855, -122.17 38.5855, -122.182 38.5855, -122.193 38.5945, -122.239 38.6757, -122.239 38.6847, -122.239 38.6937, -122.228 38.6937, -122.216 38.6937, -122.205 38.6847, -122.147 38.6306, -122.113 38.6035, -122.113 38.5945))"
201807011500,"POLYGON ((-122.113 38.5945, -122.113 38.5854, -122.124 38.5855, -122.136 38.5855, -122.147 38.5855, -122.17 38.5855, -122.182 38.5855, -122.193 38.5945, -122.239 38.6757, -122.239 38.6847, -122.239 38.6937, -122.228 38.6937, -122.216 38.6937, -122.205 38.6847, -122.113 38.6035, -122.113 38.5945))"
201807011600,"POLYGON ((-122.249 38.6438, -122.216 38.6576, -122.205 38.6667, -122.193 38.6667, -122.182 38.6576, -122.182 38.6486, -122.182 38.6396, -122.185 38.5817, -122.228 38.6215, -122.249 38.6438))"
201807011700,"POLYGON ((-122.251 38.6791, -122.182 38.7118, -122.17 38.7208, -122.147 38.7118, -122.147 38.7027, -122.147 38.6937, -122.164 38.5904, -122.17 38.5855, -122.182 38.5855, -122.193 38.5945, -122.251 38.6791))"
201807012200,"POLYGON ((-122.24 38.6464, -122.216 38.6576, -122.205 38.6667, -122.193 38.6667, -122.159 38.6667, -122.136 38.6576, -122.113 38.6035, -122.113 38.5945, -122.113 38.5854, -122.117 38.5584, -122.136 38.5584, -122.147 38.5584, -122.17 38.5674, -122.228 38.6215, -122.24 38.6464))"
