time,boundary
201806300000,"POLYGON ((-120.862 37.9825, -120.873 37.9826, -120.885 37.9828, -120.885 37.9918, -120.907 38.0101, -120.918 38.0192, -120.918 38.0282, -120.906 38.0371, -120.884 38.0279, -120.884 38.0189, -120.862 38.0006, -120.862 37.9915, -120.862 37.9825))"
201806300100,"POLYGON ((-120.828 37.9551, -120.84 37.9462, -120.862 37.9554, -120.862 37.9645, -120.885 37.9828, -120.907 37.983, -120.919 37.9831, -120.93 37.9923, -120.93 38.0013, -120.918 38.0102, -120.896 38.0009, -120.873 38.0187, -120.873 38.0277, -120.861 38.0276, -120.85 38.0275, -120.839 38.0183, -120.827 38.0002, -120.816 37.991, -120.816 37.982, -120.828 37.9641, -120.828 37.9551))"
201806300200,"POLYGON ((-120.771 37.9814, -120.771 37.9724, -120.782 37.9726, -120.794 37.9727, -120.828 37.9731, -120.851 37.9824, -120.85 37.9914, -120.839 38.0003, -120.827 38.0002, -120.793 37.9998, -120.771 37.9905, -120.771 37.9814))"
201806302200,"POLYGON ((-122.228 38.7839, -122.216 38.7839, -122.205 38.7839, -122.193 38.7839, -122.193 38.7749, -122.193 38.7659, -122.193 38.7569, -122.205 38.7569, -122.205 38.7659, -122.228 38.7839))"
201806302300,"POLYGON ((-122.274 38.7929, -122.262 38.7929, -122.251 38.7839, -122.239 38.7839, -122.228 38.7839, -122.216 38.7839, -122.228 38.7569, -122.228 38.7479, -122.228 38.7479, -122.239 38.7569, -122.251 38.7569, -122.251 38.7659, -122.274 38.7839, -122.274 38.7929))"
201807010000,"POLYGON ((-122.28 38.7929, -122.262 38.7929, -122.251 38.7839, -122.239 38.7839, -122.228 38.7839, -122.216 38.7839, -122.205 38.7749, -122.193 38.7659, -122.205 38.7659, -122.216 38.7298, -122.228 38.7298, -122.239 38.7298, -122.251 38.7298, -122.262 38.7388, -122.285 38.7568, -122.297 38.7659, -122.285 38.7839, -122.28 38.7929))"
201807010100,"POLYGON ((-122.278 38.7959, -122.262 38.802, -122.251 38.802, -122.239 38.802, -122.228 38.802, -122.216 38.7839, -122.216 38.7749, -122.216 38.7659, -122.228 38.7659, -122.239 38.7298, -122.251 38.7298, -122.274 38.7298, -122.285 38.7298, -122.297 38.7388, -122.308 38.7388, -122.308 38.7478, -122.297 38.7659, -122.285 38.7839, -122.278 38.7959))"
201807010200,"MULTIPOLYGON (((-122.285 38.7839, -122.285 38.7839, -122.274 38.7749, -122.262 38.7749, -122.251 38.7749, -122.228 38.793, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.205 38.793, -122.193 38.7659, -122.205 38.7479, -122.216 38.7298, -122.228 38.7298, -122.239 38.7298, -122.251 38.7298, -122.262 38.7388, -122.285 38.7568, -122.297 38.7659, -122.285 38.7839)), ((-122.574 39.0449, -122.563 39.045, -122.551 39.045, -122.551 39.036, -122.551 39.027, -122.551 39.0179, -122.551 39.0179, -122.563 39.0269, -122.574 39.0269, -122.574 39.0359, -122.574 39.0449)))"
201807011400,"POLYGON ((-122.185 38.5882, -122.193 38.5945, -122.2 38.6047, -122.205 38.6125, -122.228 38.6215, -122.228 38.6306, -122.233 38.6347, -122.239 38.6396, -122.245 38.6439, -122.251 38.6486, -122.251 38.649, -122.259 38.6622, -122.251 38.6757, -122.257 38.6892, -122.251 38.6937, -122.239 38.6937, -122.239 38.6847, -122.228 38.6667, -122.228 38.6396, -122.216 38.6306, -122.205 38.6216, -122.182 38.6125, -122.17 38.6035, -122.159 38.5945, -122.159 38.5855, -122.17 38.5855, -122.182 38.5855, -122.185 38.5882))"
201807011500,"POLYGON ((-122.257 38.6539, -122.262 38.6576, -122.257 38.666, -122.251 38.6757, -122.256 38.6886, -122.262 38.7027, -122.267 38.7068, -122.274 38.7117, -122.274 38.7121, -122.274 38.7208, -122.262 38.7298, -122.251 38.7208, -122.239 38.7208, -122.228 38.7208, -122.216 38.7208, -122.205 38.7208, -122.193 38.7118, -122.182 38.6937, -122.159 38.6847, -122.159 38.6757, -122.17 38.6667, -122.17 38.6396, -122.147 38.6306, -122.147 38.6216, -122.124 38.6035, -122.113 38.6035, -122.113 38.5945, -122.09 38.5764, -122.09 38.5674, -122.09 38.5584, -122.102 38.5584, -122.113 38.5584, -122.136 38.5584, -122.147 38.5584, -122.17 38.5674, -122.178 38.58, -122.182 38.5855, -122.193 38.5945, -122.205 38.6125, -122.228 38.6215, -122.228 38.6306, -122.251 38.6486, -122.257 38.6539))"
