time,boundary
201806300100,"POLYGON ((-120.885 37.9828, -120.885 37.9918, -120.884 38.0008, -120.873 38.0007, -120.862 38.0006, -120.862 37.9915, -120.862 37.9825, -120.873 37.9826, -120.885 37.9828))"
201806300200,"POLYGON ((-120.885 37.9828, -120.885 37.9918, -120.884 38.0008, -120.873 38.0007, -120.862 38.0006, -120.862 37.9915, -120.862 37.9825, -120.873 37.9826, -120.885 37.9828))"
201806302200,"POLYGON ((-122.228 38.7839, -122.228 38.793, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.193 38.7839, -122.205 38.7749, -122.216 38.7839, -122.228 38.7839))"
201806302300,"MULTIPOLYGON (((-122.239 38.7569, -122.251 38.7569, -122.251 38.7659, -122.239 38.7749, -122.228 38.793, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.182 38.7749, -122.17 38.7659, -122.17 38.7569, -122.17 38.7479, -122.182 38.7479, -122.193 38.7569, -122.205 38.7569, -122.216 38.7479, -122.228 38.7569, -122.239 38.7569)), ((-122.563 39.0269, -122.574 39.0269, -122.574 39.0359, -122.574 39.0449, -122.563 39.045, -122.551 39.045, -122.54 39.036, -122.54 39.027, -122.551 39.0179, -122.563 39.0269)))"
201807010000,"POLYGON ((-122.216 38.7298, -122.216 38.7388, -122.239 38.7569, -122.251 38.7569, -122.262 38.7569, -122.274 38.7568, -122.285 38.7568, -122.297 38.7659, -122.285 38.7839, -122.274 38.802, -122.262 38.802, -122.251 38.802, -122.239 38.802, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.182 38.7749, -122.17 38.7659, -122.17 38.7569, -122.17 38.7479, -122.182 38.7298, -122.182 38.7208, -122.193 38.7208, -122.216 38.7298))"
201807010100,"POLYGON ((-122.297 38.7659, -122.285 38.7839, -122.274 38.802, -122.262 38.802, -122.251 38.802, -122.239 38.802, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.182 38.7749, -122.17 38.7659, -122.17 38.7569, -122.17 38.7479, -122.182 38.7298, -122.182 38.7208, -122.193 38.7208, -122.216 38.7298, -122.228 38.7298, -122.239 38.7298, -122.251 38.7298, -122.262 38.7388, -122.262 38.7478, -122.2564696132597 38.7569, -122.262 38.7569, -122.274 38.7568, -122.285 38.7568, -122.297 38.7659))"
201807010200,"MULTIPOLYGON (((-122.262 38.7388, -122.262 38.7478, -122.251 38.7659, -122.239 38.7749, -122.228 38.793, -122.228 38.802, -122.216 38.802, -122.205 38.802, -122.193 38.793, -122.193 38.7839, -122.193 38.7479, -122.182 38.7388, -122.182 38.7208, -122.193 38.7208, -122.216 38.7298, -122.228 38.7298, -122.239 38.7298, -122.251 38.7298, -122.262 38.7388)), ((-122.563 39.0269, -122.574 39.0269, -122.574 39.0359, -122.574 39.0449, -122.563 39.045, -122.551 39.045, -122.54 39.036, -122.54 39.027, -122.551 39.0179, -122.563 39.0269)))"
201807010300,"MULTIPOLYGON (((-122.251 38.7298, -122.262 38.7388, -122.262 38.7478, -122.251 38.7478, -122.239 38.7478, -122.228 38.7479, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.182 38.7298, -122.182 38.7208, -122.193 38.7208, -122.216 38.7298, -122.228 38.7298, -122.239 38.7298, -122.251 38.7298)), ((-122.563 39.0269, -122.574 39.0269, -122.574 39.0359, -122.574 39.0449, -122.563 39.045, -122.551 39.045, -122.54 39.036, -122.54 39.027, -122.551 39.0179, -122.563 39.0269)))"
201807010400,"POLYGON ((-122.262 38.7388, -122.262 38.7478, -122.251 38.7478, -122.239 38.7478, -122.228 38.7479, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.182 38.7298, -122.182 38.7208, -122.193 38.7028, -122.205 38.6937, -122.228 38.7027, -122.228 38.7118, -122.251 38.7298, -122.262 38.7388))"
201807010500,"POLYGON ((-122.205 38.6667, -122.205 38.6937, -122.228 38.7027, -122.228 38.7118, -122.239 38.7208, -122.239 38.7208, -122.216 38.7388, -122.205 38.7479, -122.193 38.7479, -122.182 38.7388, -122.17 38.7208, -122.147 38.7118, -122.147 38.7027, -122.147 38.6937, -122.159 38.6757, -122.17 38.6667, -122.205 38.6667))"
201807010600,"POLYGON ((-122.239 38.6757, -122.239 38.6847, -122.239 38.6937, -122.228 38.7118, -122.228 38.7208, -122.216 38.7208, -122.205 38.7208, -122.193 38.7118, -122.182 38.6937, -122.159 38.6847, -122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.216 38.6667, -122.239 38.6757))"
201807010700,"POLYGON ((-122.239 38.6757, -122.239 38.6847, -122.239 38.6937, -122.228 38.7118, -122.228 38.7208, -122.216 38.7208, -122.205 38.7208, -122.193 38.7118, -122.17 38.7208, -122.147 38.7118, -122.147 38.7027, -122.147 38.6937, -122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.216 38.6667, -122.239 38.6757))"
201807010800,"POLYGON ((-122.255 38.7334, -122.262 38.7388, -122.262 38.7478, -122.251 38.7478, -122.239 38.7478, -122.228 38.7479, -122.228 38.7388, -122.205 38.7208, -122.193 38.7118, -122.17 38.7208, -122.147 38.7118, -122.147 38.7027, -122.147 38.6937, -122.159 38.6757, -122.17 38.6667, -122.182 38.6667, -122.193 38.6757, -122.205 38.6937, -122.228 38.7027, -122.228 38.7118, -122.251 38.7296, -122.251 38.7298, -122.255 38.7334))"
201807010900,"POLYGON ((-122.267 38.7068, -122.274 38.7117, -122.274 38.7208, -122.274 38.7209, -122.262 38.7298, -122.251 38.7208, -122.239 38.7208, -122.228 38.7208, -122.216 38.7208, -122.205 38.7208, -122.193 38.7118, -122.193 38.7028, -122.205 38.6937, -122.228 38.7027, -122.239 38.7027, -122.251 38.7027, -122.262 38.7027, -122.267 38.7068))"
