time,boundary
201910240500,"POLYGON ((-122.754 38.8124, -122.723 38.7796, -122.733 38.7638, -122.734 38.7615, -122.792 38.7706, -122.815 38.7796, -122.838 38.8066, -122.838 38.8157, -122.838 38.8247, -122.826 38.8247, -122.757 38.8157, -122.754 38.8124))"
201910240600,"POLYGON ((-122.746 38.7442, -122.746 38.7435, -122.757 38.7435, -122.769 38.7435, -122.792 38.7435, -122.803 38.7435, -122.826 38.7525, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.803 38.7976, -122.792 38.7976, -122.769 38.7886, -122.746 38.7616, -122.746 38.7525, -122.746 38.7442))"
201910240700,"POLYGON ((-122.803 38.7976, -122.803 38.7976, -122.792 38.7976, -122.769 38.7886, -122.769 38.7883, -122.792 38.7435, -122.803 38.7255, -122.815 38.7164, -122.838 38.7255, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.803 38.7976))"
201910240800,"POLYGON ((-122.803 38.7255, -122.815 38.7164, -122.838 38.7255, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.815 38.7886, -122.792 38.7616, -122.792 38.7525, -122.792 38.7435, -122.803 38.7255))"
201910240900,"POLYGON ((-122.757 38.7255, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.815 38.7164, -122.838 38.7255, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7705, -122.849 38.7706, -122.838 38.7706, -122.815 38.7706, -122.803 38.7706, -122.792 38.7616, -122.757 38.7345, -122.757 38.7255))"
201910241000,"POLYGON ((-122.867 38.7487, -122.872 38.7525, -122.872 38.7615, -122.872 38.7705, -122.861 38.7705, -122.855 38.7706, -122.849 38.7706, -122.838 38.7706, -122.815 38.7706, -122.803 38.7706, -122.801 38.7688, -122.792 38.7616, -122.792 38.7613, -122.792 38.7525, -122.792 38.7435, -122.803 38.7255, -122.815 38.7164, -122.838 38.7255, -122.867 38.7487))"
201910241100,"POLYGON ((-122.803 38.7255, -122.815 38.7164, -122.838 38.7255, -122.838 38.7345, -122.838 38.7435, -122.826 38.7435, -122.815 38.7435, -122.803 38.7345, -122.803 38.7255))"
201910241200,"POLYGON ((-122.851 38.6999, -122.884 38.7254, -122.884 38.7344, -122.884 38.7435, -122.872 38.7435, -122.861 38.7435, -122.849 38.7435, -122.838 38.7435, -122.826 38.7435, -122.815 38.7435, -122.803 38.7345, -122.769 38.7074, -122.769 38.6991, -122.769 38.6984, -122.779 38.69, -122.78 38.6894, -122.792 38.6894, -122.826 38.6894, -122.849 38.6984, -122.851 38.6999))"
201910241300,"POLYGON ((-122.826 38.6894, -122.883 38.6984, -122.895 38.7074, -122.895 38.7164, -122.838 38.7435, -122.826 38.7435, -122.815 38.7435, -122.803 38.7345, -122.769 38.7074, -122.769 38.6984, -122.78 38.6894, -122.792 38.6894, -122.826 38.6894))"
201910241400,"POLYGON ((-122.826 38.6894, -122.826 38.6894, -122.849 38.6984, -122.849 38.6984, -122.849 38.7074, -122.849 38.7164, -122.838 38.7164, -122.826 38.7164, -122.815 38.7074, -122.815 38.6984, -122.826 38.6894))"
201910241600,"POLYGON ((-122.861 38.7795, -122.861 38.7796, -122.861 38.7886, -122.852 38.7954, -122.849 38.7976, -122.838 38.7976, -122.815 38.7886, -122.826 38.7706, -122.861 38.7795))"
201910241700,"POLYGON ((-122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7435, -122.769 38.7435, -122.792 38.7435, -122.803 38.7435, -122.826 38.7525, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.838 38.7976, -122.815 38.7886, -122.769 38.7706, -122.746 38.7616))"
201910241800,"POLYGON ((-122.655 37.8862, -122.655 37.8863, -122.655 37.8953, -122.815 38.7164, -122.838 38.7255, -122.861 38.7796, -122.861 38.7886, -122.849 38.7976, -122.663 39.632, -122.638 39.6211, -122.769 38.7886, -122.746 38.7616, -122.746 38.7525, -122.746 38.7435, -122.757 38.7164, -122.632 37.9043, -122.621 37.8953, -122.621 37.8863, -122.621 37.8773, -122.632 37.8773, -122.655 37.8862))"
201910241900,"POLYGON ((-123.515 39.688, -123.514 39.6885, -123.503 39.6975, -123.364 39.7885, -123.352 39.7886, -123.34 39.7886, -123.212 39.7531, -123.2 39.7441, -123.165 39.7172, -122.408 39.4376, -122.179 39.5549, -122.245 39.4911, -122.257 39.4821, -122.699 39.2757, -122.757 38.7345, -122.757 38.7255, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.826 38.7525, -122.861 38.7796, -122.861 38.7886, -123.024 39.3567, -123.094 39.4197, -123.152 39.5097, -123.515 39.688))"
201910242000,"POLYGON ((-123.291 39.1239, -123.347 39.1932, -123.359 39.2022, -123.359 39.2112, -123.359 39.2202, -123.36 39.3916, -123.573 39.6786, -123.479 39.6075, -123.385 39.5719, -123.327 39.5451, -123.303 39.5362, -122.67 39.8991, -122.663 39.8982, -122.593 39.9432, -122.581 39.9431, -122.57 39.9431, -122.558 39.9341, -121.789 39.7136, -121.73 39.7402, -121.719 39.7401, -121.684 39.7398, -121.661 39.7305, -121.598 39.6959, -122.049 39.4178, -122.072 39.3639, -122.259 39.1934, -122.271 39.1845, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -123.057 38.9777, -123.08 38.9867, -123.115 39.0137, -123.291 39.1239))"
201910242100,"POLYGON ((-123.556 39.33, -123.622 39.5218, -123.236 39.8342, -123.224 39.8342, -122.716 39.9819, -122.561 39.9725, -122.488 39.8798, -122.488 39.8708, -122.488 39.8618, -121.827 39.3157, -122.189 39.2382, -122.377 38.8872, -122.388 38.8692, -122.4 38.8512, -122.412 38.8512, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.872 38.7525, -122.93 38.7795, -122.953 38.7885, -123.068 38.9326, -123.265 39.0492, -123.288 39.0582, -123.394 39.2291, -123.556 39.33))"
201910242300,"POLYGON ((-122.182 38.9387, -122.481 38.698, -122.493 38.689, -122.55 38.6982, -122.757 38.7164, -122.769 38.7164, -122.78 38.7164, -122.792 38.7255, -122.826 38.7525, -122.93 39.005, -123.263 39.3052, -123.255 39.3199, -123.244 39.32, -122.966 39.4019, -122.954 39.4019, -122.943 39.402, -122.908 39.402, -122.85 39.393, -122.838 39.384, -122.838 39.375, -122.182 38.9387))"
