day,time,channelID,level,landcover,boundary,temperature,humidity,pressure
8,201811082000,C01,high,forest,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",63.01621276368183,10.575185903338133,29.76191585830636
8,201811082000,C02,high,forest,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",63.01621276368183,10.575185903338133,29.76191585830636
8,201811082000,C06,high,forest,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",63.01621276368183,10.575185903338133,29.76191585830636
8,201811082000,C07_minus_C14,high,forest,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",63.01621276368183,10.575185903338133,29.76191585830636
9,201811092000,C01,high,croplands,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",41.94623984987596,42.007649579526365,29.6396593788974
9,201811092000,C02,high,croplands,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",41.94623984987596,42.007649579526365,29.6396593788974
9,201811092000,C06,normal,croplands,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",41.94623984987596,42.007649579526365,29.6396593788974
9,201811092000,C07_minus_C14,normal,croplands,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",41.94623984987596,42.007649579526365,29.6396593788974
8,201811081600,C01,low,grassland,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",68.0163001415923,8.232955777976372,29.894409655831307
8,201811081600,C02,normal,grassland,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",68.0163001415923,8.232955777976372,29.894409655831307
8,201811081600,C06,normal,grassland,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",68.0163001415923,8.232955777976372,29.894409655831307
8,201811081600,C07_minus_C14,high,grassland,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",68.0163001415923,8.232955777976372,29.894409655831307
10,201811101800,C01,high,,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",50.314742113088506,43.06858075219885,29.781141161518782
10,201811101800,C02,high,,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",50.314742113088506,43.06858075219885,29.781141161518782
10,201811101800,C06,high,,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",50.314742113088506,43.06858075219885,29.781141161518782
10,201811101800,C07_minus_C14,high,,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",50.314742113088506,43.06858075219885,29.781141161518782
10,201811102200,C01,high,croplands,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",46.95399365936282,51.77996652170013,29.796999093194103
10,201811102200,C02,high,croplands,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",46.95399365936282,51.77996652170013,29.796999093194103
10,201811102200,C06,high,croplands,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",46.95399365936282,51.77996652170013,29.796999093194103
10,201811102200,C07_minus_C14,normal,croplands,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",46.95399365936282,51.77996652170013,29.796999093194103
11,201811110000,C01,high,,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",44.30399951961567,41.6380138021106,29.82025133295332
11,201811110000,C02,high,,"POLYGON ((2 1.3, 2.4 1.7, 2.8 1.8, 3.4 1.2, 3.7 1.6, 3.4 2, 4.1 3, 5.3 2.6, 5.4 1.2, 4.9 0.8, 2.9 0.7, 2 1.3))",44.30399951961567,41.6380138021106,29.82025133295332
11,201811110000,C06,high,,"POLYGON ((4 -0.5, 3.5 1, 2 1.5, 3.5 2, 4 3.5, 4.5 2, 6 1.5, 4.5 1, 4 -0.5))",44.30399951961567,41.6380138021106,29.82025133295332
