consumption and contribution for event A on v1
1 , 713515 , 388590
2 , 671849 , 346965
3 , 627579 , 302951
4 , 582197 , 259189
5 , 534585 , 214476
6 , 502724 , 175098
7 , 451973 , 128875
8 , 411638 , 87529
9 , 368750 , 43441
10 , 321207 , 0
===============================================
consumption and contribution for event B on v2
1 , 704691 , 391175
2 , 660581 , 347497
3 , 609677 , 300294
4 , 578706 , 262485
5 , 526299 , 214144
6 , 486354 , 173618
7 , 442701 , 129820
8 , 391408 , 85173
9 , 352369 , 42908
10 , 308660 , 0
===============================================
contribution for event C on v1
2 , 44067
3 , 87900
4 , 129049
5 , 173181
6 , 217391
7 , 259012
8 , 299644
9 , 347079
10 , 389791
===============================================
contribution for event C on v2
===============================================
consumption and contribution for partial match 1
1 , 713515 , 388590
2 , 671849 , 346965
3 , 627579 , 302951
4 , 582197 , 259189
5 , 534585 , 214476
6 , 502724 , 175098
7 , 451973 , 128875
8 , 411638 , 87529
9 , 368750 , 43441
10 , 321207 , 0
===============================================
consumption and contribution for partial match 2
2 , 75925 , 44067
3 , 150776 , 87900
4 , 222520 , 129049
5 , 298097 , 173181
6 , 374006 , 217391
7 , 447216 , 259012
8 , 518268 , 299644
9 , 597098 , 347079
10 , 671465 , 389791
11 , 310976 , 0
12 , 279878 , 0
13 , 248308 , 0
14 , 217348 , 0
15 , 185770 , 0
16 , 155090 , 0
17 , 123576 , 0
18 , 92468 , 0
19 , 61949 , 0
20 , 30712 , 0
